,category,URL
0,Software,https://www.amazon.com/best-sellers-software/zgbs/software/ref=zg_bs_unv_sw_1_229563_1
1,Arts,https://www.amazon.com/Best-Sellers-Software-Arts-Culture/zgbs/software/229564/ref=zg_bs_nav_sw_2_229563
2,"Atlases, Maps & GPS",https://www.amazon.com/Best-Sellers-Software-Mapping/zgbs/software/229569/ref=zg_bs_nav_sw_2_229563
3,Dictionaries,https://www.amazon.com/Best-Sellers-Software-Dictionaries/zgbs/software/229565/ref=zg_bs_nav_sw_2_229563
4,Encyclopedias,https://www.amazon.com/Best-Sellers-Software-Encyclopedias/zgbs/software/8842494011/ref=zg_bs_nav_sw_2_229563
5,History,https://www.amazon.com/Best-Sellers-Software-History/zgbs/software/229568/ref=zg_bs_nav_sw_2_229563
6,Languages,https://www.amazon.com/Best-Sellers-Software-Foreign-Language-Instruction/zgbs/software/229567/ref=zg_bs_nav_sw_2_229563
7,Legal,https://www.amazon.com/Best-Sellers-Software-Legal/zgbs/software/15699361/ref=zg_bs_nav_sw_2_229563
8,Math,https://www.amazon.com/Best-Sellers-Software-Math-Educational/zgbs/software/5304309011/ref=zg_bs_nav_sw_2_229563
9,Religion,https://www.amazon.com/Best-Sellers-Software-Religious-Education-Reference/zgbs/software/229634/ref=zg_bs_nav_sw_2_229563
10,Science,https://www.amazon.com/Best-Sellers-Software-Science-Education-Reference/zgbs/software/229570/ref=zg_bs_nav_sw_2_229563
11,Script & Screenwriting,https://www.amazon.com/Best-Sellers-Software-Script-Screen-Writing/zgbs/software/497644/ref=zg_bs_nav_sw_2_229563
12,Test Preparation,https://www.amazon.com/Best-Sellers-Software-Test-Preparation/zgbs/software/229572/ref=zg_bs_nav_sw_2_229563
13,Typing,https://www.amazon.com/Best-Sellers-Software-Typing-Instruction/zgbs/software/229573/ref=zg_bs_nav_sw_2_229563
14,Writing & Literature,https://www.amazon.com/Best-Sellers-Software-Writing-Literature/zgbs/software/229574/ref=zg_bs_nav_sw_2_229563
