,category,URL
0,Apps & Games,https://www.amazon.com/Best-Sellers-Appstore-Android/zgbs/mobile-apps/ref=zg_bs_unv_mas_1_9408490011_1
1,Books & Comics,https://www.amazon.com/Best-Sellers-Appstore-Android-Books-Comics/zgbs/mobile-apps/9408444011/ref=zg_bs_nav_mas_2_9408490011
2,Business,https://www.amazon.com/Best-Sellers-Appstore-Android-Business/zgbs/mobile-apps/10298305011/ref=zg_bs_nav_mas_2_9408490011
3,Communication,https://www.amazon.com/Best-Sellers-Appstore-Android-Communication/zgbs/mobile-apps/9408466011/ref=zg_bs_nav_mas_2_9408490011
4,Customization,https://www.amazon.com/Best-Sellers-Appstore-Android-Customization/zgbs/mobile-apps/9408481011/ref=zg_bs_nav_mas_2_9408490011
5,Finance,https://www.amazon.com/Best-Sellers-Appstore-Android-Finance/zgbs/mobile-apps/9408433011/ref=zg_bs_nav_mas_2_9408490011
6,Food & Drink,https://www.amazon.com/Best-Sellers-Appstore-Android-Food-Drink/zgbs/mobile-apps/9408523011/ref=zg_bs_nav_mas_2_9408490011
7,Games,https://www.amazon.com/Best-Sellers-Appstore-Android-Games/zgbs/mobile-apps/9209902011/ref=zg_bs_nav_mas_2_9408490011
8,Health & Fitness,https://www.amazon.com/Best-Sellers-Appstore-Android-Health-Fitness/zgbs/mobile-apps/9408749011/ref=zg_bs_nav_mas_2_9408490011
9,Kids,https://www.amazon.com/Best-Sellers-Appstore-Android-Kids/zgbs/mobile-apps/9408582011/ref=zg_bs_nav_mas_2_9408490011
10,Lifestyle,https://www.amazon.com/Best-Sellers-Appstore-Android-Lifestyle/zgbs/mobile-apps/9408710011/ref=zg_bs_nav_mas_2_9408490011
11,Local,https://www.amazon.com/Best-Sellers-Appstore-Android-Local/zgbs/mobile-apps/10298309011/ref=zg_bs_nav_mas_2_9408490011
12,Magazines,https://www.amazon.com/Best-Sellers-Appstore-Android-Magazines/zgbs/mobile-apps/9408805011/ref=zg_bs_nav_mas_2_9408490011
13,Medical,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical/zgbs/mobile-apps/10298306011/ref=zg_bs_nav_mas_2_9408490011
14,Movies & TV,https://www.amazon.com/Best-Sellers-Appstore-Android-Movies-TV/zgbs/mobile-apps/9408765011/ref=zg_bs_nav_mas_2_9408490011
15,Music & Audio,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Audio/zgbs/mobile-apps/9408771011/ref=zg_bs_nav_mas_2_9408490011
16,News,https://www.amazon.com/Best-Sellers-Appstore-Android-News/zgbs/mobile-apps/9408802011/ref=zg_bs_nav_mas_2_9408490011
17,Novelty,https://www.amazon.com/Best-Sellers-Appstore-Android-Novelty/zgbs/mobile-apps/9408852011/ref=zg_bs_nav_mas_2_9408490011
18,Photo & Video,https://www.amazon.com/Best-Sellers-Appstore-Android-Photo-Video/zgbs/mobile-apps/9408874011/ref=zg_bs_nav_mas_2_9408490011
19,Productivity,https://www.amazon.com/Best-Sellers-Appstore-Android-Productivity/zgbs/mobile-apps/9408449011/ref=zg_bs_nav_mas_2_9408490011
20,Reference,https://www.amazon.com/Best-Sellers-Appstore-Android-Reference/zgbs/mobile-apps/9408491011/ref=zg_bs_nav_mas_2_9408490011
21,Shopping,https://www.amazon.com/Best-Sellers-Appstore-Android-Shopping/zgbs/mobile-apps/9408875011/ref=zg_bs_nav_mas_2_9408490011
22,Social,https://www.amazon.com/Best-Sellers-Appstore-Android-Social/zgbs/mobile-apps/9408464011/ref=zg_bs_nav_mas_2_9408490011
23,Sports,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports/zgbs/mobile-apps/9408876011/ref=zg_bs_nav_mas_2_9408490011
24,Transportation,https://www.amazon.com/Best-Sellers-Appstore-Android-Transportation/zgbs/mobile-apps/10298308011/ref=zg_bs_nav_mas_2_9408490011
25,Travel,https://www.amazon.com/Best-Sellers-Appstore-Android-Travel/zgbs/mobile-apps/9408785011/ref=zg_bs_nav_mas_2_9408490011
26,Utilities,https://www.amazon.com/Best-Sellers-Appstore-Android-Utilities/zgbs/mobile-apps/9408914011/ref=zg_bs_nav_mas_2_9408490011
27,Weather,https://www.amazon.com/Best-Sellers-Appstore-Android-Weather/zgbs/mobile-apps/9408850011/ref=zg_bs_nav_mas_2_9408490011
