,category,URL
0,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_unv_hi_1_495266_1
1,Ballasts,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Ballasts/zgbs/hi/5789850011/ref=zg_bs_nav_hi_2_495266
2,"Breakers, Load Centers & Fuses",https://www.amazon.com/Best-Sellers-Home-Improvement-Breakers-Load-Centers-Fuses/zgbs/hi/6369357011/ref=zg_bs_nav_hi_2_495266
3,Cord Management,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Cord-Management/zgbs/hi/11042051/ref=zg_bs_nav_hi_2_495266
4,"Cords, Adapters & Multi-Outlets",https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Cords-Adapters-Multi-Outlets/zgbs/hi/6396121011/ref=zg_bs_nav_hi_2_495266
5,Door Chimes & Bells,https://www.amazon.com/Best-Sellers-Home-Improvement-Doorbells/zgbs/hi/495320/ref=zg_bs_nav_hi_2_495266
6,"Electrical Boxes, Conduits & Fittings",https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Boxes-Conduits-Fittings/zgbs/hi/6369359011/ref=zg_bs_nav_hi_2_495266
7,Electrical Connectors,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Connectors/zgbs/hi/6426213011/ref=zg_bs_nav_hi_2_495266
8,Electrical Wire,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Wire/zgbs/hi/495310/ref=zg_bs_nav_hi_2_495266
9,Electric Motors,https://www.amazon.com/Best-Sellers-Home-Improvement-Electric-Motors/zgbs/hi/3753381/ref=zg_bs_nav_hi_2_495266
10,Home Automation Devices,https://www.amazon.com/Best-Sellers-Home-Improvement-Automation-Devices/zgbs/hi/6478739011/ref=zg_bs_nav_hi_2_495266
11,Light Sockets,https://www.amazon.com/Best-Sellers-Home-Improvement-Light-Sockets/zgbs/hi/14328101/ref=zg_bs_nav_hi_2_495266
12,Outlets & Accessories,https://www.amazon.com/Best-Sellers-Home-Improvement-Electric-Outlets-Accessories/zgbs/hi/495334/ref=zg_bs_nav_hi_2_495266
13,Plugs,https://www.amazon.com/Best-Sellers-Home-Improvement-Electric-Plugs/zgbs/hi/6396120011/ref=zg_bs_nav_hi_2_495266
14,Power Strips & Surge Protectors,https://www.amazon.com/Best-Sellers-Home-Improvement-Power-Strips-Surge-Protectors/zgbs/hi/17854127011/ref=zg_bs_nav_hi_2_495266
15,Recessed Lighting,https://www.amazon.com/Best-Sellers-Home-Improvement-Recessed-Light-Fixtures/zgbs/hi/3736711/ref=zg_bs_nav_hi_2_495266
16,Switches & Dimmers,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Switches-Dimmers/zgbs/hi/495324/ref=zg_bs_nav_hi_2_495266
17,Terminals,https://www.amazon.com/Best-Sellers-Home-Improvement-Interconnect-Terminals/zgbs/hi/306719011/ref=zg_bs_nav_hi_2_495266
18,Testers,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Testers/zgbs/hi/495336/ref=zg_bs_nav_hi_2_495266
19,Timers,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Timers/zgbs/hi/495340/ref=zg_bs_nav_hi_2_495266
20,Tools & Hardware,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Tools-Hardware/zgbs/hi/6396126011/ref=zg_bs_nav_hi_2_495266
21,Wall Plates & Accessories,https://www.amazon.com/Best-Sellers-Home-Improvement-Electrical-Wall-Plates-Accessories/zgbs/hi/6497674011/ref=zg_bs_nav_hi_2_495266
