,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602326_1
1,Arts & Crafts,https://www.amazon.com/Best-Sellers-Magazines-Arts-Music-Photography/zgbs/magazines/602314/ref=zg_bs_nav_mag_2_602326
2,Automotive,https://www.amazon.com/Best-Sellers-Magazines-Automotive-Motorcycle/zgbs/magazines/602316/ref=zg_bs_nav_mag_2_602326
3,Bridal & Weddings,https://www.amazon.com/Best-Sellers-Magazines-Bridal-Wedding/zgbs/magazines/602318/ref=zg_bs_nav_mag_2_602326
4,Business & Finance,https://www.amazon.com/Best-Sellers-Magazines-Business-Investing/zgbs/magazines/602320/ref=zg_bs_nav_mag_2_602326
5,Children's,https://www.amazon.com/Best-Sellers-Magazines-Childrens/zgbs/magazines/602322/ref=zg_bs_nav_mag_2_602326
6,Computer & Internet,https://www.amazon.com/Best-Sellers-Magazines-Computers-Internet/zgbs/magazines/602324/ref=zg_bs_nav_mag_2_602326
7,Entertainment,https://www.amazon.com/Best-Sellers-Magazines-Entertainment-Pop-Culture/zgbs/magazines/602328/ref=zg_bs_nav_mag_2_602326
8,Family & Parenting,https://www.amazon.com/Best-Sellers-Magazines-Parenting-Family/zgbs/magazines/602330/ref=zg_bs_nav_mag_2_602326
9,Fashion & Style,https://www.amazon.com/Best-Sellers-Magazines-Fashion-Style/zgbs/magazines/602332/ref=zg_bs_nav_mag_2_602326
10,Food & Gourmet,https://www.amazon.com/Best-Sellers-Magazines-Cooking-Food-Wine/zgbs/magazines/602334/ref=zg_bs_nav_mag_2_602326
11,Health & Fitness,https://www.amazon.com/Best-Sellers-Magazines-Health-Fitness-Wellness/zgbs/magazines/602340/ref=zg_bs_nav_mag_2_602326
12,History,https://www.amazon.com/Best-Sellers-Magazines-History-Trade-Journals/zgbs/magazines/602342/ref=zg_bs_nav_mag_2_602326
13,Home & Garden,https://www.amazon.com/Best-Sellers-Magazines-Home-Garden/zgbs/magazines/602344/ref=zg_bs_nav_mag_2_602326
14,LGBT,https://www.amazon.com/Best-Sellers-Magazines-LGBT/zgbs/magazines/602338/ref=zg_bs_nav_mag_2_602326
15,Lifestyle & Cultures,https://www.amazon.com/Best-Sellers-Magazines-Lifestyle-Communities/zgbs/magazines/602348/ref=zg_bs_nav_mag_2_602326
16,Literary,https://www.amazon.com/Best-Sellers-Magazines-Literary-Journals/zgbs/magazines/602350/ref=zg_bs_nav_mag_2_602326
17,Men's Interest,https://www.amazon.com/Best-Sellers-Magazines-Mens-Interests/zgbs/magazines/602352/ref=zg_bs_nav_mag_2_602326
18,Music,https://www.amazon.com/Best-Sellers-Magazines-Music/zgbs/magazines/602354/ref=zg_bs_nav_mag_2_602326
19,News & Politics,https://www.amazon.com/Best-Sellers-Magazines-News-Political-Commentary/zgbs/magazines/602358/ref=zg_bs_nav_mag_2_602326
20,Pets,https://www.amazon.com/Best-Sellers-Magazines-Pets-Animals/zgbs/magazines/602360/ref=zg_bs_nav_mag_2_602326
21,Puzzles & Games,https://www.amazon.com/Best-Sellers-Magazines-Puzzles-Games/zgbs/magazines/602336/ref=zg_bs_nav_mag_2_602326
22,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Magazines-Religion-Spirituality/zgbs/magazines/602362/ref=zg_bs_nav_mag_2_602326
23,Science & Nature,https://www.amazon.com/Best-Sellers-Magazines-Science-History-Nature/zgbs/magazines/602364/ref=zg_bs_nav_mag_2_602326
24,Sports & Leisure,https://www.amazon.com/Best-Sellers-Magazines-Sports-Recreation/zgbs/magazines/602366/ref=zg_bs_nav_mag_2_602326
25,Teens,https://www.amazon.com/Best-Sellers-Magazines-Teen/zgbs/magazines/602368/ref=zg_bs_nav_mag_2_602326
26,Travel & Regional,https://www.amazon.com/Best-Sellers-Magazines-Travel-City-Regional/zgbs/magazines/602370/ref=zg_bs_nav_mag_2_602326
27,Women's Interest,https://www.amazon.com/Best-Sellers-Magazines-Womens-Interest/zgbs/magazines/602372/ref=zg_bs_nav_mag_2_602326
