,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166164011_1
1,Dance Mats,https://www.amazon.com/Best-Sellers-Toys-Games-Electronic-Dance-Mats/zgbs/toys-and-games/274316011/ref=zg_bs_nav_t_2_166164011
2,Electronic Learning Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Electronic-Learning-Education/zgbs/toys-and-games/166177011/ref=zg_bs_nav_t_2_166164011
3,Electronic Pets,https://www.amazon.com/Best-Sellers-Toys-Games-Electronic-Pets/zgbs/toys-and-games/166178011/ref=zg_bs_nav_t_2_166164011
4,Karaoke Machines,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Karaoke-Machines/zgbs/toys-and-games/166192011/ref=zg_bs_nav_t_2_166164011
5,MP3 Players,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-MP3-Players/zgbs/toys-and-games/2491285011/ref=zg_bs_nav_t_2_166164011
6,Personal Video Players & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Personal-Video-Players/zgbs/toys-and-games/166200011/ref=zg_bs_nav_t_2_166164011
7,Plug & Play Video Games,https://www.amazon.com/Best-Sellers-Toys-Games-Plug-Play-Video/zgbs/toys-and-games/166201011/ref=zg_bs_nav_t_2_166164011
8,Remote- & App-Controlled Figures & Robots,https://www.amazon.com/Best-Sellers-Toys-Games-Remote-App-Controlled-Figures-Robotic/zgbs/toys-and-games/343404011/ref=zg_bs_nav_t_2_166164011
9,Systems & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Electronic-Systems-Accessories/zgbs/toys-and-games/166168011/ref=zg_bs_nav_t_2_166164011
10,Walkie Talkies,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Walkie-Talkies/zgbs/toys-and-games/166208011/ref=zg_bs_nav_t_2_166164011
