,category,URL
0,Office Products,https://www.amazon.com/Best-Sellers-Office-Products/zgbs/office-products/ref=zg_bs_unv_op_1_1068972_2
1,Office Supplies,https://www.amazon.com/Best-Sellers-Office-Products-School-Supplies/zgbs/office-products/1069242/ref=zg_bs_unv_op_2_1068972_1
2,Envelope & Stamp Moisteners,https://www.amazon.com/Best-Sellers-Office-Products-Envelope-Stamp-Moisteners/zgbs/office-products/12900631/ref=zg_bs_nav_op_3_1068972
3,Envelopes,https://www.amazon.com/Best-Sellers-Office-Products-Mailing-Envelopes/zgbs/office-products/1069694/ref=zg_bs_nav_op_3_1068972
4,Mail Bags & Transit Sacks,https://www.amazon.com/Best-Sellers-Office-Products-Mail-Bags-Transit-Sacks/zgbs/office-products/490796011/ref=zg_bs_nav_op_3_1068972
5,Mail Sorters,https://www.amazon.com/Best-Sellers-Office-Products-Mail-Sorters/zgbs/office-products/1085674/ref=zg_bs_nav_op_3_1068972
6,Mailers,https://www.amazon.com/Best-Sellers-Office-Products-Mailers/zgbs/office-products/1068976/ref=zg_bs_nav_op_3_1068972
7,Manual Letter Openers,https://www.amazon.com/Best-Sellers-Office-Products-Letter-Openers/zgbs/office-products/1069366/ref=zg_bs_nav_op_3_1068972
8,Packing Materials,https://www.amazon.com/Best-Sellers-Office-Products-Packing-Materials/zgbs/office-products/12900681/ref=zg_bs_nav_op_3_1068972
9,Paper Folders,https://www.amazon.com/Best-Sellers-Office-Products-Paper-Folding-Machines/zgbs/office-products/12900731/ref=zg_bs_nav_op_3_1068972
10,Postal Scales,https://www.amazon.com/Best-Sellers-Office-Products-Postal-Scales/zgbs/office-products/1068986/ref=zg_bs_nav_op_3_1068972
