,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_15857511_1
1,Antenna Toppers,https://www.amazon.com/Best-Sellers-Automotive-Antenna-Toppers/zgbs/automotive/15735131/ref=zg_bs_nav_auto_2_15857511
2,Body Armor,https://www.amazon.com/Best-Sellers-Automotive-Body-Armor/zgbs/automotive/4939604011/ref=zg_bs_nav_auto_2_15857511
3,"Bumper Stickers, Decals & Magnets",https://www.amazon.com/Best-Sellers-Automotive-Bumper-Stickers-Decals-Magnets/zgbs/automotive/15710001/ref=zg_bs_nav_auto_2_15857511
4,Bumpers & Bumper Accessories,https://www.amazon.com/Best-Sellers-Automotive-Bumpers-Bumper-Accessories/zgbs/automotive/15735201/ref=zg_bs_nav_auto_2_15857511
5,Cargo Management,https://www.amazon.com/Best-Sellers-Automotive-Cargo-Management-Products/zgbs/automotive/15735241/ref=zg_bs_nav_auto_2_15857511
6,Covers,https://www.amazon.com/Best-Sellers-Automotive-Exterior-Covers/zgbs/automotive/15857521/ref=zg_bs_nav_auto_2_15857511
7,Deflectors & Shields,https://www.amazon.com/Best-Sellers-Automotive-Deflectors-Shields/zgbs/automotive/15735601/ref=zg_bs_nav_auto_2_15857511
8,Emblems,https://www.amazon.com/Best-Sellers-Automotive-Emblems/zgbs/automotive/3095127011/ref=zg_bs_nav_auto_2_15857511
9,Fender Flares & Trim,https://www.amazon.com/Best-Sellers-Automotive-Fender-Flares-Trim/zgbs/automotive/15735691/ref=zg_bs_nav_auto_2_15857511
10,Gas Caps,https://www.amazon.com/Best-Sellers-Automotive-Replacement-Fuel-Tank-Caps/zgbs/automotive/15723051/ref=zg_bs_nav_auto_2_15857511
11,Gas Tank Doors,https://www.amazon.com/Best-Sellers-Automotive-Gas-Tank-Doors/zgbs/automotive/318292011/ref=zg_bs_nav_auto_2_15857511
12,Grilles & Grille Guards,https://www.amazon.com/Best-Sellers-Automotive-Grilles-Grille-Guards/zgbs/automotive/15735981/ref=zg_bs_nav_auto_2_15857511
13,Hood Scoops & Vents,https://www.amazon.com/Best-Sellers-Automotive-Hood-Scoops-Vents/zgbs/automotive/15736031/ref=zg_bs_nav_auto_2_15857511
14,Horns & Accessories,https://www.amazon.com/Best-Sellers-Automotive-Horns-Accessories/zgbs/automotive/15736071/ref=zg_bs_nav_auto_2_15857511
15,License Plate Covers & Frames,https://www.amazon.com/Best-Sellers-Automotive-License-Plate-Covers-Frames/zgbs/automotive/15736161/ref=zg_bs_nav_auto_2_15857511
16,Mirrors & Parts,https://www.amazon.com/Best-Sellers-Automotive-Exterior-Mirrors-Parts/zgbs/automotive/19408390011/ref=zg_bs_nav_auto_2_15857511
17,Mud Flaps & Splash Guards,https://www.amazon.com/Best-Sellers-Automotive-Wheel-Tire-Mud-Flaps-Splash-Guards/zgbs/automotive/15706651/ref=zg_bs_nav_auto_2_15857511
18,"Roll Bars, Roll Cages & Covers",https://www.amazon.com/Best-Sellers-Automotive-Roll-Bars-Cages-Covers/zgbs/automotive/15736601/ref=zg_bs_nav_auto_2_15857511
19,Running Boards & Steps,https://www.amazon.com/Best-Sellers-Automotive-Running-Boards-Steps/zgbs/automotive/15736611/ref=zg_bs_nav_auto_2_15857511
20,Safety,https://www.amazon.com/Best-Sellers-Automotive-Safety-Products/zgbs/automotive/15857541/ref=zg_bs_nav_auto_2_15857511
21,Snow & Ice,https://www.amazon.com/Best-Sellers-Automotive-Snow-Ice-Products/zgbs/automotive/15737021/ref=zg_bs_nav_auto_2_15857511
22,Spare Tire Carriers,https://www.amazon.com/Best-Sellers-Automotive-Spare-Tire-Carriers/zgbs/automotive/15706921/ref=zg_bs_nav_auto_2_15857511
23,"Spoilers, Wings & Styling Kits",https://www.amazon.com/Best-Sellers-Automotive-Spoilers-Wings-Styling-Kits/zgbs/automotive/15737061/ref=zg_bs_nav_auto_2_15857511
24,Towing Products & Winches,https://www.amazon.com/Best-Sellers-Automotive-Towing-Products-Winches/zgbs/automotive/15737251/ref=zg_bs_nav_auto_2_15857511
25,Trailer Accessories,https://www.amazon.com/Best-Sellers-Automotive-Trailer-Accessories/zgbs/automotive/15737621/ref=zg_bs_nav_auto_2_15857511
26,Truck Bed & Tailgate Accessories,https://www.amazon.com/Best-Sellers-Automotive-Truck-Bed-Tailgate-Accessories/zgbs/automotive/15737781/ref=zg_bs_nav_auto_2_15857511
27,Vinyl Wraps & Accessories,https://www.amazon.com/Best-Sellers-Automotive-Vinyl-Wraps-Accessories/zgbs/automotive/13924815011/ref=zg_bs_nav_auto_2_15857511
28,Window Louvers,https://www.amazon.com/Best-Sellers-Automotive-Window-Louvers/zgbs/automotive/15737961/ref=zg_bs_nav_auto_2_15857511
