,category,URL
0,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Sports-Outdoors/zgbs/sporting-goods/ref=zg_bs_unv_sg_1_3386071_1
1,Auto Accessories,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Auto-Accessories/zgbs/sporting-goods/374773011/ref=zg_bs_nav_sg_2_3386071
2,"Bags, Packs & Accessories",https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Bags-Packs-Accessories/zgbs/sporting-goods/5768574011/ref=zg_bs_nav_sg_2_3386071
3,Caps & Hats,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Caps-Hats/zgbs/sporting-goods/5768995011/ref=zg_bs_nav_sg_2_3386071
4,Cell Phone Accessories,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Cell-Phone-Accessories/zgbs/sporting-goods/3209246011/ref=zg_bs_nav_sg_2_3386071
5,Clothing,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Clothing/zgbs/sporting-goods/374742011/ref=zg_bs_nav_sg_2_3386071
6,Clothing Accessories,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Clothing-Accessories/zgbs/sporting-goods/2431377011/ref=zg_bs_nav_sg_2_3386071
7,Electronics,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Electronics/zgbs/sporting-goods/2311740011/ref=zg_bs_nav_sg_2_3386071
8,Fabric,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Fabric/zgbs/sporting-goods/18882554011/ref=zg_bs_nav_sg_2_3386071
9,Footwear,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Footwear/zgbs/sporting-goods/374747011/ref=zg_bs_nav_sg_2_3386071
10,Gameday & Tailgating,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Gameday-Tailgating-Gear/zgbs/sporting-goods/375518011/ref=zg_bs_nav_sg_2_3386071
11,Golf Store,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Golf-Store/zgbs/sporting-goods/5769001011/ref=zg_bs_nav_sg_2_3386071
12,Home & Kitchen,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Home-Kitchen/zgbs/sporting-goods/374819011/ref=zg_bs_nav_sg_2_3386071
13,Jewelry & Watches,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Jewelry-Watches/zgbs/sporting-goods/374916011/ref=zg_bs_nav_sg_2_3386071
14,Office Products,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Office-Products/zgbs/sporting-goods/2309018011/ref=zg_bs_nav_sg_2_3386071
15,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Patio-Lawn-Garden-Products/zgbs/sporting-goods/374893011/ref=zg_bs_nav_sg_2_3386071
16,Pet Gear,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Pet-Gear/zgbs/sporting-goods/5769002011/ref=zg_bs_nav_sg_2_3386071
17,Sports Equipment,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Equipment/zgbs/sporting-goods/374927011/ref=zg_bs_nav_sg_2_3386071
18,Sports Souvenirs,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Souvenirs/zgbs/sporting-goods/374783011/ref=zg_bs_nav_sg_2_3386071
19,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Tools-Home-Improvement/zgbs/sporting-goods/2309443011/ref=zg_bs_nav_sg_2_3386071
20,Toys & Game Room,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Toys-Game-Room/zgbs/sporting-goods/375519011/ref=zg_bs_nav_sg_2_3386071
21,Video Games & Accessories,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fan-Video-Games-Accessories/zgbs/sporting-goods/3209250011/ref=zg_bs_nav_sg_2_3386071
