,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_4619352011_1
1,Agricultural & Construction Machinery,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Agricultural-Construction-Machinery/zgbs/lawn-garden/5743799011/ref=zg_bs_nav_lg_2_4619352011
2,Agriculture & Grounds Management,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Agriculture-Grounds-Management/zgbs/lawn-garden/5743764011/ref=zg_bs_nav_lg_2_4619352011
3,Beekeeping Supplies,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Beekeeping-Supplies/zgbs/lawn-garden/4619353011/ref=zg_bs_nav_lg_2_4619352011
4,Livestock Supplies,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Livestock-Care-Supplies/zgbs/lawn-garden/4619355011/ref=zg_bs_nav_lg_2_4619352011
5,Material Transport,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Agricultural-Material-Transport/zgbs/lawn-garden/5743826011/ref=zg_bs_nav_lg_2_4619352011
6,Pest Control,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Products/zgbs/lawn-garden/553844/ref=zg_bs_nav_lg_2_4619352011
7,Plant Germination Equipment,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Agriculture-Plant-Germination-Equipment/zgbs/lawn-garden/5743847011/ref=zg_bs_nav_lg_2_4619352011
8,"Plants, Seeds & Bulbs",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Plants-Seeds-Bulbs/zgbs/lawn-garden/3480662011/ref=zg_bs_nav_lg_2_4619352011
9,Poultry Care,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Poultry-Care-Supplies/zgbs/lawn-garden/4619362011/ref=zg_bs_nav_lg_2_4619352011
10,"Soils, Fertilizers & Mulches",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Soils-Fertilizers-Mulches/zgbs/lawn-garden/3752871/ref=zg_bs_nav_lg_2_4619352011
11,Structures & Hardware,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Agricultural-Structures-Hardware/zgbs/lawn-garden/5743829011/ref=zg_bs_nav_lg_2_4619352011
