,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_383599011_1
1,Bolts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Bolts/zgbs/industrial/17290024011/ref=zg_bs_nav_indust_2_383599011
2,Screws,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Screws/zgbs/industrial/17290023011/ref=zg_bs_nav_indust_2_383599011
3,Nuts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Nuts/zgbs/industrial/16409861/ref=zg_bs_nav_indust_2_383599011
4,Nut & Bolt Assortment Sets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Nut-Bolt-Assortment-Sets/zgbs/industrial/383887011/ref=zg_bs_nav_indust_2_383599011
5,Anchors,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Anchors/zgbs/industrial/16409341/ref=zg_bs_nav_indust_2_383599011
6,Collated Fasteners,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Collated-Hardware-Fasteners/zgbs/industrial/552420/ref=zg_bs_nav_indust_2_383599011
7,Nails,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Nails/zgbs/industrial/511338/ref=zg_bs_nav_indust_2_383599011
8,Pins,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Pins/zgbs/industrial/16410171/ref=zg_bs_nav_indust_2_383599011
9,Retaining Rings,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retaining-Rings/zgbs/industrial/16410451/ref=zg_bs_nav_indust_2_383599011
10,Rivets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Rivets/zgbs/industrial/16410461/ref=zg_bs_nav_indust_2_383599011
11,Spacers & Standoffs,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Spacers-Standoffs/zgbs/industrial/16413321/ref=zg_bs_nav_indust_2_383599011
12,Threaded Inserts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Threaded-Inserts/zgbs/industrial/16410701/ref=zg_bs_nav_indust_2_383599011
13,Staples,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Staples/zgbs/industrial/17290519011/ref=zg_bs_nav_indust_2_383599011
14,Threaded Rods & Studs,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Threaded-Rods-Studs/zgbs/industrial/16410711/ref=zg_bs_nav_indust_2_383599011
15,Washers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Washers/zgbs/industrial/16410821/ref=zg_bs_nav_indust_2_383599011
16,Screw & Bolt Assortment Sets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Screw-Bolt-Assortment-Sets/zgbs/industrial/6809678011/ref=zg_bs_nav_indust_2_383599011
