,category,URL
0,Pet Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_unv_petsupplies_1_2975446011_1
1,Aquarium Cleaners,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Cleaners/zgbs/pet-supplies/2975464011/ref=zg_bs_nav_petsupplies_2_2975446011
2,Aquarium Décor,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Décor/zgbs/pet-supplies/2975448011/ref=zg_bs_nav_petsupplies_2_2975446011
3,Aquarium Heaters & Chillers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Heaters-Chillers/zgbs/pet-supplies/19171761011/ref=zg_bs_nav_petsupplies_2_2975446011
4,Aquarium Hoods,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Hoods/zgbs/pet-supplies/2975457011/ref=zg_bs_nav_petsupplies_2_2975446011
5,Aquarium Hydrometers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Hydrometers/zgbs/pet-supplies/3048857011/ref=zg_bs_nav_petsupplies_2_2975446011
6,Aquarium Lights,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Lights/zgbs/pet-supplies/2975458011/ref=zg_bs_nav_petsupplies_2_2975446011
7,Aquarium Pumps & Filters,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Pumps-Filters/zgbs/pet-supplies/2975469011/ref=zg_bs_nav_petsupplies_2_2975446011
8,Aquarium Stands,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Stands/zgbs/pet-supplies/2975459011/ref=zg_bs_nav_petsupplies_2_2975446011
9,Aquarium Substrate,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Substrate/zgbs/pet-supplies/2975476011/ref=zg_bs_nav_petsupplies_2_2975446011
10,Aquarium Test Kits,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Test-Kits/zgbs/pet-supplies/3048858011/ref=zg_bs_nav_petsupplies_2_2975446011
11,Aquarium Thermometers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Thermometers/zgbs/pet-supplies/2975477011/ref=zg_bs_nav_petsupplies_2_2975446011
12,Aquarium Water Treatments,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquarium-Water-Treatments/zgbs/pet-supplies/2975478011/ref=zg_bs_nav_petsupplies_2_2975446011
13,Aquariums & Fish Bowls,https://www.amazon.com/Best-Sellers-Pet-Supplies-Aquariums-Fish-Bowls/zgbs/pet-supplies/7955292011/ref=zg_bs_nav_petsupplies_2_2975446011
14,Automatic Feeders,https://www.amazon.com/Best-Sellers-Pet-Supplies-Automatic-Fish-Feeders/zgbs/pet-supplies/2975462011/ref=zg_bs_nav_petsupplies_2_2975446011
15,Breeding Tanks,https://www.amazon.com/Best-Sellers-Pet-Supplies-Fish-Breeding-Tanks/zgbs/pet-supplies/2975463011/ref=zg_bs_nav_petsupplies_2_2975446011
16,Food,https://www.amazon.com/Best-Sellers-Pet-Supplies-Fish-Food/zgbs/pet-supplies/2975479011/ref=zg_bs_nav_petsupplies_2_2975446011
17,Medication & Health Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Fish-Medication-Health/zgbs/pet-supplies/21238281011/ref=zg_bs_nav_petsupplies_2_2975446011
