,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_2255571011_1
1,Assortments & Variety Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Assortments-Variety-Gifts/zgbs/grocery/12011207011/ref=zg_bs_nav_gro_2_2255571011
2,Bakery & Dessert Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Bakery-Dessert-Gifts/zgbs/grocery/2255576011/ref=zg_bs_nav_gro_2_2255571011
3,Candy & Chocolate Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Chocolate-Gifts/zgbs/grocery/2255572011/ref=zg_bs_nav_gro_2_2255571011
4,Cheese & Charcuterie Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Cheese-Charcuterie-Gifts/zgbs/grocery/2255573011/ref=zg_bs_nav_gro_2_2255571011
5,Coffee & Tea Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Coffee-Tea-Gifts/zgbs/grocery/2255575011/ref=zg_bs_nav_gro_2_2255571011
6,Fruit & Nut Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fruit-Nut-Gifts/zgbs/grocery/2255577011/ref=zg_bs_nav_gro_2_2255571011
7,"Herb, Spice & Seasoning Gifts",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Herb-Spice-Seasoning-Gifts/zgbs/grocery/2255584011/ref=zg_bs_nav_gro_2_2255571011
8,"Jam, Jelly & Sweet Spread Gifts",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Jam-Jelly-Sweet-Spread-Gifts/zgbs/grocery/2255578011/ref=zg_bs_nav_gro_2_2255571011
9,Meat & Seafood Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meat-Seafood-Gifts/zgbs/grocery/2255579011/ref=zg_bs_nav_gro_2_2255571011
10,"Sauce, Gravy & Marinade Gifts",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Sauce-Gravy-Marinade-Gifts/zgbs/grocery/2255580011/ref=zg_bs_nav_gro_2_2255571011
11,Snack Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Snack-Gifts/zgbs/grocery/2255582011/ref=zg_bs_nav_gro_2_2255571011
