,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_1063306_1
1,Bedroom Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bedroom-Furniture/zgbs/home-garden/1063308/ref=zg_bs_nav_hg_2_1063306
2,Living Room Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Living-Room-Furniture/zgbs/home-garden/1063318/ref=zg_bs_nav_hg_2_1063306
3,Kitchen & Dining Room Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining-Room-Furniture/zgbs/home-garden/3733781/ref=zg_bs_nav_hg_2_1063306
4,Home Office Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Office-Furniture/zgbs/home-garden/1063312/ref=zg_bs_nav_hg_2_1063306
5,Kids' Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Kids-Furniture/zgbs/home-garden/1063314/ref=zg_bs_nav_hg_2_1063306
6,Entryway Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Entryway-Furniture/zgbs/home-garden/3249856011/ref=zg_bs_nav_hg_2_1063306
7,Game & Recreation Room Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Game-Recreation-Room-Furniture/zgbs/home-garden/5422303011/ref=zg_bs_nav_hg_2_1063306
8,Bathroom Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bathroom-Furniture/zgbs/home-garden/5392425011/ref=zg_bs_nav_hg_2_1063306
9,Nursery Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Nursery-Furniture/zgbs/home-garden/13552765011/ref=zg_bs_nav_hg_2_1063306
10,Accent Furniture,https://www.amazon.com/Best-Sellers-Home-Kitchen-Accent-Furniture/zgbs/home-garden/16543322011/ref=zg_bs_nav_hg_2_1063306
11,Replacement Parts,https://www.amazon.com/Best-Sellers-Home-Kitchen-Furniture-Replacement-Parts/zgbs/home-garden/8516080011/ref=zg_bs_nav_hg_2_1063306
