,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166220011_1
1,Arcade & Table Games,https://www.amazon.com/Best-Sellers-Toys-Games-Arcade-Table/zgbs/toys-and-games/7427858011/ref=zg_bs_nav_t_2_166220011
2,Board Games,https://www.amazon.com/Best-Sellers-Toys-Games-Board/zgbs/toys-and-games/166225011/ref=zg_bs_nav_t_2_166220011
3,Card Games,https://www.amazon.com/Best-Sellers-Toys-Games-Card/zgbs/toys-and-games/166239011/ref=zg_bs_nav_t_2_166220011
4,Dice Games,https://www.amazon.com/Best-Sellers-Toys-Games-Dice/zgbs/toys-and-games/18702044011/ref=zg_bs_nav_t_2_166220011
5,DVD Games,https://www.amazon.com/Best-Sellers-Toys-Games-DVD/zgbs/toys-and-games/274314011/ref=zg_bs_nav_t_2_166220011
6,Floor Games,https://www.amazon.com/Best-Sellers-Toys-Games-Floor/zgbs/toys-and-games/166250011/ref=zg_bs_nav_t_2_166220011
7,Game Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Game-Accessories/zgbs/toys-and-games/166221011/ref=zg_bs_nav_t_2_166220011
8,Game Collections,https://www.amazon.com/Best-Sellers-Toys-Games-Game-Collections/zgbs/toys-and-games/166267011/ref=zg_bs_nav_t_2_166220011
9,Gaming Tops,https://www.amazon.com/Best-Sellers-Toys-Games-Gaming-Top/zgbs/toys-and-games/166224011/ref=zg_bs_nav_t_2_166220011
10,Handheld Games,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Handheld/zgbs/toys-and-games/166179011/ref=zg_bs_nav_t_2_166220011
11,Stacking Games,https://www.amazon.com/Best-Sellers-Toys-Games-Stacking/zgbs/toys-and-games/166263011/ref=zg_bs_nav_t_2_166220011
12,Tile Games,https://www.amazon.com/Best-Sellers-Toys-Games-Domino-Tile/zgbs/toys-and-games/166248011/ref=zg_bs_nav_t_2_166220011
13,Travel Games,https://www.amazon.com/Best-Sellers-Toys-Games-Travel/zgbs/toys-and-games/166265011/ref=zg_bs_nav_t_2_166220011
