,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_3610851_1
1,Composting & Yard Waste Bins,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Composting-Yard-Waste-Bins/zgbs/lawn-garden/9001142011/ref=zg_bs_nav_lg_2_3610851
2,Garden Sculptures & Statues,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Sculptures-Statues/zgbs/lawn-garden/553802/ref=zg_bs_nav_lg_2_3610851
3,Gloves & Protective Gear,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Gloves-Protective-Gear/zgbs/lawn-garden/9001141011/ref=zg_bs_nav_lg_2_3610851
4,Greenhouses & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Greenhouses-Accessories/zgbs/lawn-garden/7787992011/ref=zg_bs_nav_lg_2_3610851
5,Hand Tools,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Hand-Tools/zgbs/lawn-garden/128061011/ref=zg_bs_nav_lg_2_3610851
6,Indoor Gardening & Hydroponics,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Indoor-Gardening-Hydroponics/zgbs/lawn-garden/14252881/ref=zg_bs_nav_lg_2_3610851
7,Lawn & Mulch Paint,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Lawn-Mulch-Paint/zgbs/lawn-garden/14100828011/ref=zg_bs_nav_lg_2_3610851
8,Outdoor Carts,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Carts/zgbs/lawn-garden/917870/ref=zg_bs_nav_lg_2_3610851
9,Pest Control,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Products/zgbs/lawn-garden/553844/ref=zg_bs_nav_lg_2_3610851
10,Plant Covers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Plant-Covers/zgbs/lawn-garden/3563987011/ref=zg_bs_nav_lg_2_3610851
11,"Plants, Seeds & Bulbs",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Plants-Seeds-Bulbs/zgbs/lawn-garden/3480662011/ref=zg_bs_nav_lg_2_3610851
12,Plant Support Structures,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Plant-Support-Structures/zgbs/lawn-garden/14106461/ref=zg_bs_nav_lg_2_3610851
13,"Pots, Planters & Container Accessories",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Pots-Planters-Accessories/zgbs/lawn-garden/3480694011/ref=zg_bs_nav_lg_2_3610851
14,Potting Benches & Tables,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Potting-Benches-Tables/zgbs/lawn-garden/16135368011/ref=zg_bs_nav_lg_2_3610851
15,"Soils, Fertilizers & Mulches",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Soils-Fertilizers-Mulches/zgbs/lawn-garden/3752871/ref=zg_bs_nav_lg_2_3610851
16,Sprayers & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Gardening-Sprayers-Accessories/zgbs/lawn-garden/9001143011/ref=zg_bs_nav_lg_2_3610851
17,Spreaders,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Lawn-Spreaders/zgbs/lawn-garden/553928/ref=zg_bs_nav_lg_2_3610851
18,Water Gardens & Ponds,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pond-Equipment/zgbs/lawn-garden/13764241/ref=zg_bs_nav_lg_2_3610851
19,Watering Equipment,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Lawn-Watering-Equipment/zgbs/lawn-garden/553958/ref=zg_bs_nav_lg_2_3610851
20,Weed & Moss Control,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Weed-Moss-Control/zgbs/lawn-garden/3480706011/ref=zg_bs_nav_lg_2_3610851
