,category,URL
0,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Kitchen-Dining/zgbs/kitchen/ref=zg_bs_unv_k_1_13217501_2
1,Dining & Entertaining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining-Entertaining/zgbs/home-garden/13162311/ref=zg_bs_unv_k_2_13217501_1
2,Beer Glasses,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Beer-Glasses/zgbs/kitchen/13217731/ref=zg_bs_nav_k_3_13217501
3,Beer Mugs & Steins,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Beer-Mugs-Steins/zgbs/kitchen/13217761/ref=zg_bs_nav_k_3_13217501
4,Cocktail Drinkware,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Cocktail-Drinkware/zgbs/kitchen/17867732011/ref=zg_bs_nav_k_3_13217501
5,Drinking Jars,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Drinking-Jars/zgbs/kitchen/17867734011/ref=zg_bs_nav_k_3_13217501
6,Goblets & Chalices,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Goblets/zgbs/kitchen/13694091/ref=zg_bs_nav_k_3_13217501
7,Growlers,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Growlers/zgbs/kitchen/16188241011/ref=zg_bs_nav_k_3_13217501
8,Iced Tea Glasses,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Iced-Tea-Glasses/zgbs/kitchen/13218151/ref=zg_bs_nav_k_3_13217501
9,Kiddush Cups & Sets,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Kiddush-Cups-Sets/zgbs/kitchen/16961529011/ref=zg_bs_nav_k_3_13217501
10,Liqueur & Spirits Glasses,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Liqueur-Spirits-Glasses/zgbs/kitchen/17867735011/ref=zg_bs_nav_k_3_13217501
11,Mixed Drinkware Sets,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Mixed-Drinkware-Sets/zgbs/kitchen/13218751/ref=zg_bs_nav_k_3_13217501
12,Sake Cups,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Sake-Cups/zgbs/kitchen/3136596011/ref=zg_bs_nav_k_3_13217501
13,Sake Sets,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Sake-Sets/zgbs/kitchen/3136597011/ref=zg_bs_nav_k_3_13217501
14,Stemmed Water Glasses,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Stemmed-Water-Glasses/zgbs/kitchen/16188242011/ref=zg_bs_nav_k_3_13217501
15,Tumblers & Water Glasses,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Tumblers-Water-Glasses/zgbs/kitchen/13218451/ref=zg_bs_nav_k_3_13217501
16,Wine & Champagne Glasses,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Wine-Champagne-Glasses/zgbs/kitchen/16861787011/ref=zg_bs_nav_k_3_13217501
