,category,URL
0,Beauty & Personal Care,https://www.amazon.com/Best-Sellers-Beauty/zgbs/beauty/ref=zg_bs_unv_bt_1_11057241_1
1,"Extensions, Wigs & Accessories",https://www.amazon.com/Best-Sellers-Beauty-Hair-Extensions-Wigs-Accessories/zgbs/beauty/13105931/ref=zg_bs_nav_bt_2_11057241
2,Hair & Scalp Treatments,https://www.amazon.com/Best-Sellers-Beauty-Hair-Scalp-Treatments/zgbs/beauty/11057431/ref=zg_bs_nav_bt_2_11057241
3,Hair Accessories,https://www.amazon.com/Best-Sellers-Beauty-Hair-Styling-Accessories/zgbs/beauty/11057971/ref=zg_bs_nav_bt_2_11057241
4,Hair Coloring Products,https://www.amazon.com/Best-Sellers-Beauty-Hair-Coloring-Products/zgbs/beauty/11057451/ref=zg_bs_nav_bt_2_11057241
5,Hair Cutting Tools,https://www.amazon.com/Best-Sellers-Beauty-Hair-Cutting-Tools/zgbs/beauty/10676449011/ref=zg_bs_nav_bt_2_11057241
6,Hair Loss Products,https://www.amazon.com/Best-Sellers-Beauty-Hair-Loss-Products/zgbs/beauty/10898755011/ref=zg_bs_nav_bt_2_11057241
7,Hair Masks,https://www.amazon.com/Best-Sellers-Beauty-Hair-Treatment-Masks/zgbs/beauty/10666437011/ref=zg_bs_nav_bt_2_11057241
8,"Hair Perms, Relaxers & Texturizers",https://www.amazon.com/Best-Sellers-Beauty-Hair-Perms-Relaxers-Texturizers/zgbs/beauty/16236250011/ref=zg_bs_nav_bt_2_11057241
9,Hair Regrowth Devices,https://www.amazon.com/Best-Sellers-Beauty-Hair-Regrowth-Devices/zgbs/beauty/13861664011/ref=zg_bs_nav_bt_2_11057241
10,Hair Treatment Oils,https://www.amazon.com/Best-Sellers-Beauty-Hair-Treatment-Oils/zgbs/beauty/10666439011/ref=zg_bs_nav_bt_2_11057241
11,Shampoo & Conditioner,https://www.amazon.com/Best-Sellers-Beauty-Shampoo-Conditioner/zgbs/beauty/17911764011/ref=zg_bs_nav_bt_2_11057241
12,Styling Products,https://www.amazon.com/Best-Sellers-Beauty-Hair-Styling-Products/zgbs/beauty/11057841/ref=zg_bs_nav_bt_2_11057241
13,Styling Tools & Appliances,https://www.amazon.com/Best-Sellers-Beauty-Styling-Tools-Appliances/zgbs/beauty/11058091/ref=zg_bs_nav_bt_2_11057241
