,category,URL
0,Audible Books & Originals,https://www.amazon.com/Best-Sellers-Audible-Audiobooks/zgbs/audible/ref=zg_bs_unv_1_18573370011_1
1,Addiction & Recovery,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Addiction-Recovery/zgbs/audible/18573371011/ref=zg_bs_nav_2_18573370011
2,Aging & Longevity,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Aging-Longevity/zgbs/audible/18573380011/ref=zg_bs_nav_2_18573370011
3,Alternative & Complementary Medicine,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Alternative-Complementary-Medicine/zgbs/audible/18573389011/ref=zg_bs_nav_2_18573370011
4,"Beauty, Grooming & Style",https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Beauty-Grooming-Style/zgbs/audible/18573402011/ref=zg_bs_nav_2_18573370011
5,Children's Health,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Childrens-Health/zgbs/audible/18573404011/ref=zg_bs_nav_2_18573370011
6,Dentistry & Oral Health,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Dentistry-Oral-Health/zgbs/audible/18573411011/ref=zg_bs_nav_2_18573370011
7,"Fitness, Diet & Nutrition",https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Fitness-Diet-Nutrition/zgbs/audible/18573412011/ref=zg_bs_nav_2_18573370011
8,Medicine & Health Care Industry,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Medicine-Health-Care-Industry/zgbs/audible/18573441011/ref=zg_bs_nav_2_18573370011
9,Psychology & Mental Health,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Psychology-Mental-Health/zgbs/audible/18573475011/ref=zg_bs_nav_2_18573370011
10,Safety & Emergency Preparedness,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Safety-Emergency-Preparedness/zgbs/audible/18573516011/ref=zg_bs_nav_2_18573370011
11,Sexual & Reproductive Health,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Sexual-Reproductive-Health/zgbs/audible/18573517011/ref=zg_bs_nav_2_18573370011
