,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_10_1
1,Addiction & Recovery,https://www.amazon.com/Best-Sellers-Books-Health-Recovery/zgbs/books/4716/ref=zg_bs_nav_b_2_10
2,Aging,https://www.amazon.com/Best-Sellers-Books-Aging/zgbs/books/282840/ref=zg_bs_nav_b_2_10
3,Alternative Medicine,https://www.amazon.com/Best-Sellers-Books-Alternative-Medicine/zgbs/books/4696/ref=zg_bs_nav_b_2_10
4,"Beauty, Grooming, & Style",https://www.amazon.com/Best-Sellers-Books-Grooming-Style/zgbs/books/4601/ref=zg_bs_nav_b_2_10
5,Children's Health,https://www.amazon.com/Best-Sellers-Books-Childrens-Health/zgbs/books/282948/ref=zg_bs_nav_b_2_10
6,Diets & Weight Loss,https://www.amazon.com/Best-Sellers-Books-Diets-Weight-Loss/zgbs/books/4613/ref=zg_bs_nav_b_2_10
7,Diseases & Physical Ailments,https://www.amazon.com/Best-Sellers-Books-Diseases-Physical-Ailments-Health/zgbs/books/4656/ref=zg_bs_nav_b_2_10
8,Exercise & Fitness,https://www.amazon.com/Best-Sellers-Books-Exercise-Fitness/zgbs/books/4645/ref=zg_bs_nav_b_2_10
9,Men's Health,https://www.amazon.com/Best-Sellers-Books-Mens-Health/zgbs/books/4667/ref=zg_bs_nav_b_2_10
10,Mental Health,https://www.amazon.com/Best-Sellers-Books-Mental-Health/zgbs/books/4682/ref=zg_bs_nav_b_2_10
11,Nutrition,https://www.amazon.com/Best-Sellers-Books-Nutrition/zgbs/books/282861/ref=zg_bs_nav_b_2_10
12,Psychology & Counseling,https://www.amazon.com/Best-Sellers-Books-Psychology-Counseling/zgbs/books/11119/ref=zg_bs_nav_b_2_10
13,Reference,https://www.amazon.com/Best-Sellers-Books-Health-Mind-Body-Reference/zgbs/books/4728/ref=zg_bs_nav_b_2_10
14,Safety & First Aid,https://www.amazon.com/Best-Sellers-Books-Safety-First-Aid/zgbs/books/465688/ref=zg_bs_nav_b_2_10
15,Sexual Health,https://www.amazon.com/Best-Sellers-Books-Sexual-Health/zgbs/books/6514340011/ref=zg_bs_nav_b_2_10
16,Sports Health & Safety,https://www.amazon.com/Best-Sellers-Books-Sports-Health-Safety/zgbs/books/10075829011/ref=zg_bs_nav_b_2_10
17,Teen Health,https://www.amazon.com/Best-Sellers-Books-Teen-Health/zgbs/books/6511978011/ref=zg_bs_nav_b_2_10
18,Vaccinations,https://www.amazon.com/Best-Sellers-Books-Vaccinations/zgbs/books/13922584011/ref=zg_bs_nav_b_2_10
19,Women's Health,https://www.amazon.com/Best-Sellers-Books-Womens-Health/zgbs/books/4672/ref=zg_bs_nav_b_2_10
