,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_3206324011_1
1,Air Conditioners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Room-Air-Conditioners/zgbs/home-garden/14554126011/ref=zg_bs_nav_hg_2_3206324011
2,Air Purifiers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Air-Purifiers/zgbs/home-garden/267554011/ref=zg_bs_nav_hg_2_3206324011
3,Dehumidifiers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dehumidifiers/zgbs/home-garden/267557011/ref=zg_bs_nav_hg_2_3206324011
4,Household Fans,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Fans/zgbs/home-garden/3737601/ref=zg_bs_nav_hg_2_3206324011
5,Humidifiers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Humidifiers/zgbs/home-garden/17685839011/ref=zg_bs_nav_hg_2_3206324011
6,Indoor Thermometers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Indoor-Thermometers/zgbs/home-garden/4536988011/ref=zg_bs_nav_hg_2_3206324011
7,Space Heaters,https://www.amazon.com/Best-Sellers-Home-Kitchen-Indoor-Space-Heaters/zgbs/home-garden/510182/ref=zg_bs_nav_hg_2_3206324011
8,Stoves & Fireplaces,https://www.amazon.com/Best-Sellers-Home-Kitchen-Stoves-Fireplaces/zgbs/home-garden/1063284/ref=zg_bs_nav_hg_2_3206324011
9,Parts & Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Heating-Cooling-Parts-Accessories/zgbs/home-garden/19149190011/ref=zg_bs_nav_hg_2_3206324011
