,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_276729011_1
1,Coin Collecting,https://www.amazon.com/Best-Sellers-Toys-Games-Hobby-Coin-Collecting-Products/zgbs/toys-and-games/276799011/ref=zg_bs_nav_t_2_276729011
2,Hobby Building Tools & Hardware,https://www.amazon.com/Best-Sellers-Toys-Games-Hobby-Building-Tools-Hardware/zgbs/toys-and-games/6925831011/ref=zg_bs_nav_t_2_276729011
3,Models & Model Kits,https://www.amazon.com/Best-Sellers-Toys-Games-Models-Model-Kits/zgbs/toys-and-games/6925829011/ref=zg_bs_nav_t_2_276729011
4,Pinewood Derby,https://www.amazon.com/Best-Sellers-Toys-Games-Pinewood-Derby-Supplies/zgbs/toys-and-games/9443150011/ref=zg_bs_nav_t_2_276729011
5,Remote & App Controlled Vehicles & Parts,https://www.amazon.com/Best-Sellers-Toys-Games-Hobby-Remote-App-Controlled-Vehicles-Parts/zgbs/toys-and-games/6925830011/ref=zg_bs_nav_t_2_276729011
6,Rockets,https://www.amazon.com/Best-Sellers-Toys-Games-Model-Rockets-Kits/zgbs/toys-and-games/276798011/ref=zg_bs_nav_t_2_276729011
7,"Slot Cars, Race Tracks & Accessories",https://www.amazon.com/Best-Sellers-Toys-Games-Slot-Cars-Race-Tracks-Accessories/zgbs/toys-and-games/2519971011/ref=zg_bs_nav_t_2_276729011
8,Stamp Collecting,https://www.amazon.com/Best-Sellers-Toys-Games-Hobby-Stamp-Collecting-Products/zgbs/toys-and-games/276802011/ref=zg_bs_nav_t_2_276729011
9,Trains & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Hobby-Trains-Accessories/zgbs/toys-and-games/276745011/ref=zg_bs_nav_t_2_276729011
