,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602344_1
1,Antiques & Collectibles,https://www.amazon.com/Best-Sellers-Magazines-Antiques-Collectibles/zgbs/magazines/16014521/ref=zg_bs_nav_mag_2_602344
2,Country Life,https://www.amazon.com/Best-Sellers-Magazines-Country-Life/zgbs/magazines/349062011/ref=zg_bs_nav_mag_2_602344
3,Design & Decoration,https://www.amazon.com/Best-Sellers-Magazines-Home-Decorating/zgbs/magazines/637734/ref=zg_bs_nav_mag_2_602344
4,Farming,https://www.amazon.com/Best-Sellers-Magazines-Farming/zgbs/magazines/349064011/ref=zg_bs_nav_mag_2_602344
5,Gardening & Horticulture,https://www.amazon.com/Best-Sellers-Magazines-Gardening-Horticulture/zgbs/magazines/637736/ref=zg_bs_nav_mag_2_602344
6,Home Organization,https://www.amazon.com/Best-Sellers-Magazines-Home-Organization/zgbs/magazines/253168011/ref=zg_bs_nav_mag_2_602344
7,How-To & Home Improvements,https://www.amazon.com/Best-Sellers-Magazines-How-Home-Improvements/zgbs/magazines/637738/ref=zg_bs_nav_mag_2_602344
8,Log Homes,https://www.amazon.com/Best-Sellers-Magazines-Log-Homes/zgbs/magazines/349061011/ref=zg_bs_nav_mag_2_602344
9,Luxury Homes,https://www.amazon.com/Best-Sellers-Magazines-Luxury-Homes/zgbs/magazines/349063011/ref=zg_bs_nav_mag_2_602344
10,Pets & Animals,https://www.amazon.com/Best-Sellers-Magazines-Pets-Animals/zgbs/magazines/602360/ref=zg_bs_nav_mag_2_602344
11,Sustainable Living,https://www.amazon.com/Best-Sellers-Magazines-Sustainable-Living/zgbs/magazines/253206011/ref=zg_bs_nav_mag_2_602344
12,Woodworking,https://www.amazon.com/Best-Sellers-Magazines-Woodworking/zgbs/magazines/637742/ref=zg_bs_nav_mag_2_602344
