,category,URL
0,Amazon Launchpad,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_unv_1_21179675011_1
1,All Gifts,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-All-Gifts/zgbs/boost/13270237011/ref=zg_bs_nav_2_21179675011
2,Amazon Launchpad 4-Star Store,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Star-Store/zgbs/boost/17863429011/ref=zg_bs_nav_2_21179675011
3,Amazon Launchpad Brand Stories,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Brand-Stories/zgbs/boost/21217716011/ref=zg_bs_nav_2_21179675011
4,Amazon Launchpad Brand Stories Social Good,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Brand-Stories-Social-Good/zgbs/boost/21217719011/ref=zg_bs_nav_2_21179675011
5,Amazon Launchpad Brand Stories Women Owned,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Brand-Stories-Women-Owned/zgbs/boost/21217720011/ref=zg_bs_nav_2_21179675011
6,Amazon Launchpad Easy Meal Prep,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Easy-Meal-Prep/zgbs/boost/21601413011/ref=zg_bs_nav_2_21179675011
7,Amazon Launchpad Fall Fitness,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Fall-Fitness/zgbs/boost/21389970011/ref=zg_bs_nav_2_21179675011
8,Amazon Launchpad Home for the Holidays,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Home-Holidays/zgbs/boost/21403269011/ref=zg_bs_nav_2_21179675011
9,Amazon Launchpad Innovation Grant Awards,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Innovation-Grant-Awards/zgbs/boost/21596710011/ref=zg_bs_nav_2_21179675011
10,Amazon Launchpad Innovative Gifts: Sports & Outdoors,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Innovative-Gifts-Sports-Outdoors/zgbs/boost/21425079011/ref=zg_bs_nav_2_21179675011
11,Amazon Launchpad Meet the Launchers: Black-Owned Businesses,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Meet-Launchers-Black-Owned-Businesses/zgbs/boost/21442712011/ref=zg_bs_nav_2_21179675011
12,Amazon Launchpad Meet the Launchers: Family-Owned Brands,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Meet-Launchers-Family-Owned-Brands/zgbs/boost/21317470011/ref=zg_bs_nav_2_21179675011
13,Amazon Launchpad Meet the Launchers: Latinx Owned,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Meet-Launchers-Latinx-Owned/zgbs/boost/21417971011/ref=zg_bs_nav_2_21179675011
14,Amazon Launchpad Meet the Launchers: Sustainable Brands,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Meet-Launchers-Sustainable-Brands/zgbs/boost/21317469011/ref=zg_bs_nav_2_21179675011
15,Amazon Launchpad Movie Night,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Movie-Night/zgbs/boost/21362311011/ref=zg_bs_nav_2_21179675011
16,Amazon Launchpad New Releases,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-New-Releases/zgbs/boost/13226812011/ref=zg_bs_nav_2_21179675011
17,Amazon Launchpad New Year New Gear,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-New-Year-Gear/zgbs/boost/21559224011/ref=zg_bs_nav_2_21179675011
18,Amazon Launchpad Pampered Pooch,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Pampered-Pooch/zgbs/boost/21362312011/ref=zg_bs_nav_2_21179675011
19,Amazon Launchpad Picks,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Picks/zgbs/boost/15684313011/ref=zg_bs_nav_2_21179675011
20,Amazon Launchpad Shark Tank Collection,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Shark-Tank-Collection/zgbs/boost/15684301011/ref=zg_bs_nav_2_21179675011
21,Amazon Launchpad Top-Rated Gifts,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Top-Rated-Gifts/zgbs/boost/21403265011/ref=zg_bs_nav_2_21179675011
22,Amazon Launchpad Work From Home Essentials,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Work-Home-Essentials/zgbs/boost/21499231011/ref=zg_bs_nav_2_21179675011
23,Amazon Launchpad: Warm Weather Routine Refresh,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Warm-Weather-Routine-Refresh/zgbs/boost/21614090011/ref=zg_bs_nav_2_21179675011
24,Beauty & Health,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Beauty-Health/zgbs/boost/21179680011/ref=zg_bs_nav_2_21179675011
25,"Clothing, Shoes & Jewelry",https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Clothing-Shoes-Jewelry/zgbs/boost/21179681011/ref=zg_bs_nav_2_21179675011
26,Deals,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Deals/zgbs/boost/15389784011/ref=zg_bs_nav_2_21179675011
27,Electronics,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Electronics/zgbs/boost/21179674011/ref=zg_bs_nav_2_21179675011
28,Grocery,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Grocery/zgbs/boost/21179679011/ref=zg_bs_nav_2_21179675011
29,Kitchen,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Kitchen/zgbs/boost/21179682011/ref=zg_bs_nav_2_21179675011
30,Pets,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Pets/zgbs/boost/21179676011/ref=zg_bs_nav_2_21179675011
31,Shark Tank Gifts,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Shark-Tank-Gifts/zgbs/boost/15684306011/ref=zg_bs_nav_2_21179675011
32,Shark Tank gift ideas,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Shark-Tank-gift-ideas/zgbs/boost/21491764011/ref=zg_bs_nav_2_21179675011
33,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Sports-Outdoors/zgbs/boost/21179678011/ref=zg_bs_nav_2_21179675011
34,Toys,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Toys/zgbs/boost/21179677011/ref=zg_bs_nav_2_21179675011
35,Watch & Shop,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop/zgbs/boost/21390573011/ref=zg_bs_nav_2_21179675011
36,Watch & Shop: Audio & Video,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Audio-Video/zgbs/boost/21390581011/ref=zg_bs_nav_2_21179675011
37,Watch & Shop: Beauty & Health,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Beauty-Health/zgbs/boost/21390575011/ref=zg_bs_nav_2_21179675011
38,Watch & Shop: Fitness & Outdoors,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Fitness-Outdoors/zgbs/boost/21390579011/ref=zg_bs_nav_2_21179675011
39,Watch & Shop: Food & Beverage,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Food-Beverage/zgbs/boost/21390576011/ref=zg_bs_nav_2_21179675011
40,Watch & Shop: Home & Garden,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Home-Garden/zgbs/boost/21390580011/ref=zg_bs_nav_2_21179675011
41,Watch & Shop: Paws & Pals,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Paws-Pals/zgbs/boost/21390578011/ref=zg_bs_nav_2_21179675011
42,Watch & Shop: Seasonal Events,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Seasonal-Events/zgbs/boost/21542441011/ref=zg_bs_nav_2_21179675011
43,Watch & Shop: Tech & Gadgets,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Tech-Gadgets/zgbs/boost/21346125011/ref=zg_bs_nav_2_21179675011
44,Watch & Shop: Toys & Tots,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Toys-Tots/zgbs/boost/21390577011/ref=zg_bs_nav_2_21179675011
45,Watch & Shop: Travel & Transport,https://www.amazon.com/Best-Sellers-Amazon-Launchpad-Watch-Shop-Travel-Transport/zgbs/boost/21390574011/ref=zg_bs_nav_2_21179675011
