,category,URL
0,Health & Household,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_unv_hpc_1_15342811_1
1,Air Fresheners,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Air-Freshener-Supplies/zgbs/hpc/15356121/ref=zg_bs_nav_hpc_2_15342811
2,Cleaning Tools,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Household-Cleaning-Tools/zgbs/hpc/15342831/ref=zg_bs_nav_hpc_2_15342811
3,Dishwashing,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Dishwashing-Supplies/zgbs/hpc/15693761/ref=zg_bs_nav_hpc_2_15342811
4,Household Batteries,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Household-Batteries/zgbs/hpc/15745581/ref=zg_bs_nav_hpc_2_15342811
5,Household Battery Chargers,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Household-Battery-Chargers/zgbs/hpc/10063711011/ref=zg_bs_nav_hpc_2_15342811
6,Household Cleaning,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Household-Cleaning/zgbs/hpc/15342821/ref=zg_bs_nav_hpc_2_15342811
7,Laundry,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Laundry-Supplies/zgbs/hpc/15356111/ref=zg_bs_nav_hpc_2_15342811
8,Light Bulbs,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Light-Bulbs/zgbs/hpc/322525011/ref=zg_bs_nav_hpc_2_15342811
9,Lighters & Matches,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Lighters-Matches/zgbs/hpc/10342347011/ref=zg_bs_nav_hpc_2_15342811
10,Paper & Plastic,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Paper-Plastic-Household-Supplies/zgbs/hpc/15342841/ref=zg_bs_nav_hpc_2_15342811
11,Tobacco-Related Products,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Tobacco-Related-Products/zgbs/hpc/10342472011/ref=zg_bs_nav_hpc_2_15342811
12,Toothpicks,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Toothpicks/zgbs/hpc/7083335011/ref=zg_bs_nav_hpc_2_15342811
