,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_86_1
1,Coloring Books for Grown-Ups,https://www.amazon.com/Best-Sellers-Books-Coloring-Grown-Ups/zgbs/books/11357541011/ref=zg_bs_nav_b_2_86
2,Humor,https://www.amazon.com/Best-Sellers-Books-Humor/zgbs/books/4456/ref=zg_bs_nav_b_2_86
3,Movies,https://www.amazon.com/Best-Sellers-Books-Movies/zgbs/books/4484/ref=zg_bs_nav_b_2_86
4,Performing Arts,https://www.amazon.com/Best-Sellers-Books-Performing-Arts/zgbs/books/521000/ref=zg_bs_nav_b_2_86
5,Pop Culture,https://www.amazon.com/Best-Sellers-Books-Pop-Culture/zgbs/books/4550/ref=zg_bs_nav_b_2_86
6,Puzzles & Games,https://www.amazon.com/Best-Sellers-Books-Puzzles-Games/zgbs/books/4402/ref=zg_bs_nav_b_2_86
7,Radio,https://www.amazon.com/Best-Sellers-Books-Radio/zgbs/books/4564/ref=zg_bs_nav_b_2_86
8,Television,https://www.amazon.com/Best-Sellers-Books-Television/zgbs/books/4569/ref=zg_bs_nav_b_2_86
9,Trivia & Fun Facts,https://www.amazon.com/Best-Sellers-Books-Trivia-Fun-Facts/zgbs/books/11871/ref=zg_bs_nav_b_2_86
