,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_468300_1
1,Ambient Pop,https://www.amazon.com/Best-Sellers-Music-Ambient-Pop/zgbs/music/602092/ref=zg_bs_nav_m_2_468300
2,Chamber Pop,https://www.amazon.com/Best-Sellers-Music-Chamber-Pop/zgbs/music/602090/ref=zg_bs_nav_m_2_468300
3,Dream Pop,https://www.amazon.com/Best-Sellers-Music-Dream-Pop/zgbs/music/602088/ref=zg_bs_nav_m_2_468300
4,Electronic Pop,https://www.amazon.com/Best-Sellers-Music-Electronic-Pop/zgbs/music/13463751/ref=zg_bs_nav_m_2_468300
5,Emo,https://www.amazon.com/Best-Sellers-Music-Emo/zgbs/music/300227/ref=zg_bs_nav_m_2_468300
6,Indie Rock,https://www.amazon.com/Best-Sellers-Music-Indie-Rock/zgbs/music/471006/ref=zg_bs_nav_m_2_468300
7,Jangle Pop,https://www.amazon.com/Best-Sellers-Music-Jangle-Pop/zgbs/music/602082/ref=zg_bs_nav_m_2_468300
8,Lo-Fi,https://www.amazon.com/Best-Sellers-Music-Lo-Fi/zgbs/music/5215/ref=zg_bs_nav_m_2_468300
9,Riot Grrl,https://www.amazon.com/Best-Sellers-Music-Riot-Grrl/zgbs/music/408258/ref=zg_bs_nav_m_2_468300
10,Shoegazing,https://www.amazon.com/Best-Sellers-Music-Shoegazing/zgbs/music/602094/ref=zg_bs_nav_m_2_468300
11,Twee Pop,https://www.amazon.com/Best-Sellers-Music-Twee-Pop/zgbs/music/602086/ref=zg_bs_nav_m_2_468300
