,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_306506011_1
1,Circuit Protection Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Circuit-Protection-Products/zgbs/industrial/306507011/ref=zg_bs_nav_indust_2_306506011
2,Controls & Indicators,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electrical-Controls-Indicators/zgbs/industrial/306528011/ref=zg_bs_nav_indust_2_306506011
3,Decade Boxes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Decade-Boxes/zgbs/industrial/1265103011/ref=zg_bs_nav_indust_2_306506011
4,Fiber Optic Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Fiber-Optic-Products/zgbs/industrial/306611011/ref=zg_bs_nav_indust_2_306506011
5,Lighting Components,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Lighting-Components/zgbs/industrial/6355949011/ref=zg_bs_nav_indust_2_306506011
6,Optoelectronic Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Optoelectronic-Products/zgbs/industrial/306743011/ref=zg_bs_nav_indust_2_306506011
7,Passive Components,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electrical-Passive-Components/zgbs/industrial/306767011/ref=zg_bs_nav_indust_2_306506011
8,Semiconductor Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Semiconductor-Products/zgbs/industrial/306831011/ref=zg_bs_nav_indust_2_306506011
9,Sensors,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electronic-Component-Sensors/zgbs/industrial/306923011/ref=zg_bs_nav_indust_2_306506011
10,Thermal Management Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Thermal-Management-Products/zgbs/industrial/306943011/ref=zg_bs_nav_indust_2_306506011
11,Wiring & Connecting,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Interconnects/zgbs/industrial/306629011/ref=zg_bs_nav_indust_2_306506011
