,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_16412251_1
1,Biscuits & Plugs,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Biscuits-Plugs/zgbs/industrial/16409481/ref=zg_bs_nav_indust_2_16412251
2,Braces & Joist Hangers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Braces-Joist-Hangers/zgbs/industrial/16412261/ref=zg_bs_nav_indust_2_16412251
3,Brackets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Brackets/zgbs/industrial/16412271/ref=zg_bs_nav_indust_2_16412251
4,Bumpers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Bumpers/zgbs/industrial/16412281/ref=zg_bs_nav_indust_2_16412251
5,Catches,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Catches/zgbs/industrial/16412341/ref=zg_bs_nav_indust_2_16412251
6,Chains,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Chains/zgbs/industrial/16412351/ref=zg_bs_nav_indust_2_16412251
7,Drawer Slides,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Cabinet-Furniture-Drawer-Slides/zgbs/industrial/511238/ref=zg_bs_nav_indust_2_16412251
8,Flexible Support Arms,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Flexible-Support-Arms/zgbs/industrial/16412431/ref=zg_bs_nav_indust_2_16412251
9,Grommets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Grommets/zgbs/industrial/16409771/ref=zg_bs_nav_indust_2_16412251
10,Handles & Pulls,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Handles-Pulls/zgbs/industrial/16412441/ref=zg_bs_nav_indust_2_16412251
11,Hasps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hardware-Hasps/zgbs/industrial/511384/ref=zg_bs_nav_indust_2_16412251
12,Hinges,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hinges/zgbs/industrial/16412531/ref=zg_bs_nav_indust_2_16412251
13,Hooks,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hooks/zgbs/industrial/16412711/ref=zg_bs_nav_indust_2_16412251
14,Knobs & Hand Wheels,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Knobs-Hand-Wheels/zgbs/industrial/16412791/ref=zg_bs_nav_indust_2_16412251
15,Latches,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Latches/zgbs/industrial/16412911/ref=zg_bs_nav_indust_2_16412251
16,Lock Bolts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Lock-Bolts/zgbs/industrial/16409851/ref=zg_bs_nav_indust_2_16412251
17,Snaps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Snaps/zgbs/industrial/16410641/ref=zg_bs_nav_indust_2_16412251
