,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_15857501_1
1,Air Fresheners,https://www.amazon.com/Best-Sellers-Automotive-Air-Fresheners/zgbs/automotive/15735121/ref=zg_bs_nav_auto_2_15857501
2,Anti-Theft,https://www.amazon.com/Best-Sellers-Automotive-Antitheft-Products/zgbs/automotive/15735141/ref=zg_bs_nav_auto_2_15857501
3,Apparel,https://www.amazon.com/Best-Sellers-Automotive-Racing-Apparel/zgbs/automotive/15736691/ref=zg_bs_nav_auto_2_15857501
4,Ashtrays,https://www.amazon.com/Best-Sellers-Automotive-Ashtrays/zgbs/automotive/318293011/ref=zg_bs_nav_auto_2_15857501
5,Compasses,https://www.amazon.com/Best-Sellers-Automotive-Compasses/zgbs/automotive/15735441/ref=zg_bs_nav_auto_2_15857501
6,Consoles & Organizers,https://www.amazon.com/Best-Sellers-Automotive-Consoles-Organizers/zgbs/automotive/15735451/ref=zg_bs_nav_auto_2_15857501
7,Covers,https://www.amazon.com/Best-Sellers-Automotive-Interior-Covers/zgbs/automotive/15735551/ref=zg_bs_nav_auto_2_15857501
8,Cup Holders,https://www.amazon.com/Best-Sellers-Automotive-Cup-Holders/zgbs/automotive/318296011/ref=zg_bs_nav_auto_2_15857501
9,Door Entry Guard,https://www.amazon.com/Best-Sellers-Automotive-Door-Entry-Guard/zgbs/automotive/3097820011/ref=zg_bs_nav_auto_2_15857501
10,Electrical Appliances,https://www.amazon.com/Best-Sellers-Automotive-Electrical-Appliances/zgbs/automotive/15735661/ref=zg_bs_nav_auto_2_15857501
11,Floor Mats & Cargo Liners,https://www.amazon.com/Best-Sellers-Automotive-Floor-Mats-Cargo-Liners/zgbs/automotive/15735731/ref=zg_bs_nav_auto_2_15857501
12,Garbage Cans,https://www.amazon.com/Best-Sellers-Automotive-Garbage-Cans/zgbs/automotive/318297011/ref=zg_bs_nav_auto_2_15857501
13,Gauges,https://www.amazon.com/Best-Sellers-Automotive-Replacement-Instrument-Panel-Gauges/zgbs/automotive/15729701/ref=zg_bs_nav_auto_2_15857501
14,Grab Handles,https://www.amazon.com/Best-Sellers-Automotive-Grab-Handles/zgbs/automotive/15710341/ref=zg_bs_nav_auto_2_15857501
15,Gun Racks,https://www.amazon.com/Best-Sellers-Automotive-Gun-Racks/zgbs/automotive/11162632011/ref=zg_bs_nav_auto_2_15857501
16,Insulation & Noise Control,https://www.amazon.com/Best-Sellers-Automotive-Insulation-Noise-Control/zgbs/automotive/15736121/ref=zg_bs_nav_auto_2_15857501
17,Key Shells,https://www.amazon.com/Best-Sellers-Automotive-Key-Shells/zgbs/automotive/21551229011/ref=zg_bs_nav_auto_2_15857501
18,Keychains,https://www.amazon.com/Best-Sellers-Automotive-Keychains/zgbs/automotive/318298011/ref=zg_bs_nav_auto_2_15857501
19,Mirrors,https://www.amazon.com/Best-Sellers-Automotive-Interior-Mirrors/zgbs/automotive/15710191/ref=zg_bs_nav_auto_2_15857501
20,Pedals & Pedal Accessories,https://www.amazon.com/Best-Sellers-Automotive-Pedals-Pedal-Accessories/zgbs/automotive/15736571/ref=zg_bs_nav_auto_2_15857501
21,Safety,https://www.amazon.com/Best-Sellers-Automotive-Interior-Safety-Products/zgbs/automotive/15857551/ref=zg_bs_nav_auto_2_15857501
22,Seat Covers & Accessories,https://www.amazon.com/Best-Sellers-Automotive-Seat-Covers-Accessories/zgbs/automotive/15736751/ref=zg_bs_nav_auto_2_15857501
23,Shift Boots & Knobs,https://www.amazon.com/Best-Sellers-Automotive-Shift-Boots-Knobs/zgbs/automotive/15736991/ref=zg_bs_nav_auto_2_15857501
24,Steering Wheels & Accessories,https://www.amazon.com/Best-Sellers-Automotive-Steering-Wheels-Accessories/zgbs/automotive/15737141/ref=zg_bs_nav_auto_2_15857501
25,Sun Protection,https://www.amazon.com/Best-Sellers-Automotive-Interior-Sun-Protection/zgbs/automotive/15737191/ref=zg_bs_nav_auto_2_15857501
