,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_33_1
1,Africa,https://www.amazon.com/Best-Sellers-Music-African/zgbs/music/63720/ref=zg_bs_nav_m_2_33
2,Australia & New Zealand,https://www.amazon.com/Best-Sellers-Music-Australia-New-Zealand/zgbs/music/63746/ref=zg_bs_nav_m_2_33
3,Caribbean & Cuba,https://www.amazon.com/Best-Sellers-Music-Caribbean-Cuban/zgbs/music/63748/ref=zg_bs_nav_m_2_33
4,Europe,https://www.amazon.com/Best-Sellers-Music-European/zgbs/music/63777/ref=zg_bs_nav_m_2_33
5,Far East & Asia,https://www.amazon.com/Best-Sellers-Music-Far-East-Asian/zgbs/music/63831/ref=zg_bs_nav_m_2_33
6,India & Pakistan,https://www.amazon.com/Best-Sellers-Music-Indian-Pakistani/zgbs/music/225376/ref=zg_bs_nav_m_2_33
7,Middle East,https://www.amazon.com/Best-Sellers-Music-Middle-Eastern/zgbs/music/63858/ref=zg_bs_nav_m_2_33
8,North America,https://www.amazon.com/Best-Sellers-Music-North-American/zgbs/music/63869/ref=zg_bs_nav_m_2_33
9,Pacific Islands,https://www.amazon.com/Best-Sellers-Music-Pacific-Islands/zgbs/music/63877/ref=zg_bs_nav_m_2_33
10,South & Central America,https://www.amazon.com/Best-Sellers-Music-South-Central-American/zgbs/music/63761/ref=zg_bs_nav_m_2_33
