,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_317971011_1
1,Cleaning Chemicals,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Cleaning-Chemicals/zgbs/industrial/3310240011/ref=zg_bs_nav_indust_2_317971011
2,Cleaning Tools,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Cleaning-Tools/zgbs/industrial/3310260011/ref=zg_bs_nav_indust_2_317971011
3,Floor Mats & Matting,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Floor-Mats-Matting/zgbs/industrial/3310283011/ref=zg_bs_nav_indust_2_317971011
4,Floor Stand Signs,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Floor-Stand-Signs/zgbs/industrial/3310282011/ref=zg_bs_nav_indust_2_317971011
5,Laundry Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Laundry-Cleaning-Supplies/zgbs/industrial/3310248011/ref=zg_bs_nav_indust_2_317971011
6,Mopping Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Mopping-Supplies/zgbs/industrial/3278156011/ref=zg_bs_nav_indust_2_317971011
7,Odor & Drain Maintainers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Odor-Drain-Maintainers/zgbs/industrial/3310284011/ref=zg_bs_nav_indust_2_317971011
8,Paper Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Bulk-Quantity-Paper-Products/zgbs/industrial/3310293011/ref=zg_bs_nav_indust_2_317971011
9,Personal Care Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Bulk-Quantity-Personal-Care-Products/zgbs/industrial/3310301011/ref=zg_bs_nav_indust_2_317971011
10,Restroom Fixtures,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Restroom-Fixtures/zgbs/industrial/3310316011/ref=zg_bs_nav_indust_2_317971011
11,Sweeping Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Sweeping-Supplies/zgbs/industrial/3278163011/ref=zg_bs_nav_indust_2_317971011
12,Vacuums & Floor Cleaning Machines,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Vacuum-Floor-Cleaning-Machines/zgbs/industrial/16115424011/ref=zg_bs_nav_indust_2_317971011
13,Waste Receptacles & Liners,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Commercial-Waste-Receptacles-Liners/zgbs/industrial/3310326011/ref=zg_bs_nav_indust_2_317971011
