,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_34_1
1,Acid Jazz,https://www.amazon.com/Best-Sellers-Music-Acid-Jazz/zgbs/music/63893/ref=zg_bs_nav_m_2_34
2,Avant Garde & Free Jazz,https://www.amazon.com/Best-Sellers-Music-Avant-Garde-Free-Jazz/zgbs/music/63894/ref=zg_bs_nav_m_2_34
3,Bebop,https://www.amazon.com/Best-Sellers-Music-Bebop/zgbs/music/598174/ref=zg_bs_nav_m_2_34
4,Brazilian Jazz,https://www.amazon.com/Best-Sellers-Music-Brazilian-Jazz/zgbs/music/63897/ref=zg_bs_nav_m_2_34
5,Cool Jazz,https://www.amazon.com/Best-Sellers-Music-Cool-Jazz/zgbs/music/63925/ref=zg_bs_nav_m_2_34
6,Dixieland,https://www.amazon.com/Best-Sellers-Music-Dixieland-Jazz/zgbs/music/299601011/ref=zg_bs_nav_m_2_34
7,European Jazz,https://www.amazon.com/Best-Sellers-Music-European-Jazz/zgbs/music/303270011/ref=zg_bs_nav_m_2_34
8,Jazz Fusion,https://www.amazon.com/Best-Sellers-Music-Jazz-Fusion/zgbs/music/63927/ref=zg_bs_nav_m_2_34
9,Jazz Jam Bands,https://www.amazon.com/Best-Sellers-Music-Jazz-Jam-Bands/zgbs/music/468108/ref=zg_bs_nav_m_2_34
10,Jive Jazz,https://www.amazon.com/Best-Sellers-Music-Jive-Jazz/zgbs/music/303272011/ref=zg_bs_nav_m_2_34
11,Latin Jazz,https://www.amazon.com/Best-Sellers-Music-Latin-Jazz/zgbs/music/63928/ref=zg_bs_nav_m_2_34
12,Modern Postbebop,https://www.amazon.com/Best-Sellers-Music-Modern-Postbebop/zgbs/music/63929/ref=zg_bs_nav_m_2_34
13,New Orleans Jazz,https://www.amazon.com/Best-Sellers-Music-New-Orleans-Jazz/zgbs/music/63930/ref=zg_bs_nav_m_2_34
14,Orchestral Jazz,https://www.amazon.com/Best-Sellers-Music-Orchestral-Jazz/zgbs/music/301413011/ref=zg_bs_nav_m_2_34
15,Smooth Jazz,https://www.amazon.com/Best-Sellers-Music-Smooth-Jazz/zgbs/music/468298/ref=zg_bs_nav_m_2_34
16,Soul-Jazz & Boogaloo,https://www.amazon.com/Best-Sellers-Music-Soul-Jazz-Boogaloo/zgbs/music/500060/ref=zg_bs_nav_m_2_34
17,Swing Jazz,https://www.amazon.com/Best-Sellers-Music-Swing-Jazz/zgbs/music/598152/ref=zg_bs_nav_m_2_34
18,Traditional Jazz & Ragtime,https://www.amazon.com/Best-Sellers-Music-Traditional-Jazz-Ragtime/zgbs/music/598162/ref=zg_bs_nav_m_2_34
19,Vocal Jazz,https://www.amazon.com/Best-Sellers-Music-Vocal-Jazz/zgbs/music/598170/ref=zg_bs_nav_m_2_34
