,category,URL
0,Handmade Products,https://www.amazon.com/Best-Sellers-Handmade/zgbs/handmade/ref=zg_bs_unv_hnd_1_11403480011_1
1,Rings,https://www.amazon.com/Best-Sellers-Handmade-Rings/zgbs/handmade/11435897011/ref=zg_bs_nav_hnd_2_11403480011
2,Earrings,https://www.amazon.com/Best-Sellers-Handmade-Earrings/zgbs/handmade/11435874011/ref=zg_bs_nav_hnd_2_11403480011
3,Necklaces,https://www.amazon.com/Best-Sellers-Handmade-Necklaces/zgbs/handmade/11435888011/ref=zg_bs_nav_hnd_2_11403480011
4,Bracelets,https://www.amazon.com/Best-Sellers-Handmade-Bracelets/zgbs/handmade/11435858011/ref=zg_bs_nav_hnd_2_11403480011
5,Charms,https://www.amazon.com/Best-Sellers-Handmade-Jewelry-Charms/zgbs/handmade/11435868011/ref=zg_bs_nav_hnd_2_11403480011
6,Body Jewelry,https://www.amazon.com/Best-Sellers-Handmade-Body-Jewelry/zgbs/handmade/11435854011/ref=zg_bs_nav_hnd_2_11403480011
7,Hair Jewelry,https://www.amazon.com/Best-Sellers-Handmade-Hair-Jewelry/zgbs/handmade/11435881011/ref=zg_bs_nav_hnd_2_11403480011
8,Jewelry Sets,https://www.amazon.com/Best-Sellers-Handmade-Jewelry-Sets/zgbs/handmade/11435887011/ref=zg_bs_nav_hnd_2_11403480011
9,Prayer & Meditation Beads,https://www.amazon.com/Best-Sellers-Handmade-Prayer-Meditation-Beads/zgbs/handmade/18730240011/ref=zg_bs_nav_hnd_2_11403480011
10,Watches,https://www.amazon.com/Best-Sellers-Handmade-Watches/zgbs/handmade/18730241011/ref=zg_bs_nav_hnd_2_11403480011
11,"Brooches, Buttons & Pins",https://www.amazon.com/Best-Sellers-Handmade-Brooches-Buttons-Pins/zgbs/handmade/11435865011/ref=zg_bs_nav_hnd_2_11403480011
12,Cufflinks & Shirt Accessories,https://www.amazon.com/Best-Sellers-Handmade-Cufflinks-Shirt-Accessories/zgbs/handmade/11435869011/ref=zg_bs_nav_hnd_2_11403480011
13,Accessories,https://www.amazon.com/Best-Sellers-Handmade-Jewelry-Accessories/zgbs/handmade/11435850011/ref=zg_bs_nav_hnd_2_11403480011
