,category,URL
0,Kindle Store,https://www.amazon.com/Best-Sellers-Kindle-Store/zgbs/digital-text/ref=zg_bs_unv_kstore_1_2486013011_1
1,Amazon Original Stories,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Amazon-Original-Stories/zgbs/digital-text/17506527011/ref=zg_bs_nav_kstore_2_2486013011
2,Arts & Photography,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Arts-Photography/zgbs/digital-text/17403633011/ref=zg_bs_nav_kstore_2_2486013011
3,Biographies & Memoirs,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Biographies-Memoirs/zgbs/digital-text/17403634011/ref=zg_bs_nav_kstore_2_2486013011
4,Business & Money,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Business-Money/zgbs/digital-text/17403635011/ref=zg_bs_nav_kstore_2_2486013011
5,"Health, Fitness & Dieting",https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Health-Fitness-Dieting/zgbs/digital-text/17403643011/ref=zg_bs_nav_kstore_2_2486013011
6,History,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-History/zgbs/digital-text/17403644011/ref=zg_bs_nav_kstore_2_2486013011
7,Humor & Entertainment,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Humor-Entertainment/zgbs/digital-text/17403645011/ref=zg_bs_nav_kstore_2_2486013011
8,"Lesbian, Gay, Bisexual & Transgender",https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Lesbian-Gay-Bisexual-Transgender/zgbs/digital-text/17403647011/ref=zg_bs_nav_kstore_2_2486013011
9,Literature & Fiction,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Literature-Fiction/zgbs/digital-text/17403648011/ref=zg_bs_nav_kstore_2_2486013011
10,"Mystery, Thriller & Suspense",https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Mystery-Thriller-Suspense/zgbs/digital-text/17403650011/ref=zg_bs_nav_kstore_2_2486013011
11,Nonfiction,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Nonfiction/zgbs/digital-text/17403651011/ref=zg_bs_nav_kstore_2_2486013011
12,Parenting & Relationships,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Parenting-Relationships/zgbs/digital-text/17403652011/ref=zg_bs_nav_kstore_2_2486013011
13,Politics & Social Sciences,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Politics-Social-Sciences/zgbs/digital-text/17403653011/ref=zg_bs_nav_kstore_2_2486013011
14,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Religion-Spirituality/zgbs/digital-text/17403655011/ref=zg_bs_nav_kstore_2_2486013011
15,Romance,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Romance/zgbs/digital-text/17403656011/ref=zg_bs_nav_kstore_2_2486013011
16,Science & Math,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Science-Math/zgbs/digital-text/17403657011/ref=zg_bs_nav_kstore_2_2486013011
17,Science Fiction & Fantasy,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Science-Fiction-Fantasy/zgbs/digital-text/17403658011/ref=zg_bs_nav_kstore_2_2486013011
18,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Sports-Outdoors/zgbs/digital-text/17403660011/ref=zg_bs_nav_kstore_2_2486013011
19,Teen & Young Adult,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Teen-Young-Adult/zgbs/digital-text/17403661011/ref=zg_bs_nav_kstore_2_2486013011
20,Travel,https://www.amazon.com/Best-Sellers-Kindle-Store-Singles-Travel/zgbs/digital-text/17403662011/ref=zg_bs_nav_kstore_2_2486013011
