,category,URL
0,Kindle Store,https://www.amazon.com/Best-Sellers-Kindle-Store/zgbs/digital-text/ref=zg_bs_unv_kstore_1_154606011_1
1,Arts & Photography,https://www.amazon.com/Best-Sellers-Kindle-Store-Arts-Photography/zgbs/digital-text/154607011/ref=zg_bs_nav_kstore_2_154606011
2,Biographies & Memoirs,https://www.amazon.com/Best-Sellers-Kindle-Store-Biographies-Memoirs/zgbs/digital-text/154754011/ref=zg_bs_nav_kstore_2_154606011
3,Business & Money,https://www.amazon.com/Best-Sellers-Kindle-Store-Business-Investing/zgbs/digital-text/154821011/ref=zg_bs_nav_kstore_2_154606011
4,Children's eBooks,https://www.amazon.com/Best-Sellers-Kindle-Store-Childrens-eBooks/zgbs/digital-text/155009011/ref=zg_bs_nav_kstore_2_154606011
5,"Comics, Manga & Graphic Novels",https://www.amazon.com/Best-Sellers-Kindle-Store-Comics-Manga-Graphic-Novels/zgbs/digital-text/156104011/ref=zg_bs_nav_kstore_2_154606011
6,Computers & Technology,https://www.amazon.com/Best-Sellers-Kindle-Store-Computers-Technology/zgbs/digital-text/156116011/ref=zg_bs_nav_kstore_2_154606011
7,"Cookbooks, Food & Wine",https://www.amazon.com/Best-Sellers-Kindle-Store-Cookbooks-Food-Wine/zgbs/digital-text/156154011/ref=zg_bs_nav_kstore_2_154606011
8,"Crafts, Hobbies & Home",https://www.amazon.com/Best-Sellers-Kindle-Store-Crafts-Hobbies-Home/zgbs/digital-text/156699011/ref=zg_bs_nav_kstore_2_154606011
9,Education & Teaching,https://www.amazon.com/Best-Sellers-Kindle-Store-Education-Teaching/zgbs/digital-text/158125011/ref=zg_bs_nav_kstore_2_154606011
10,Engineering & Transportation,https://www.amazon.com/Best-Sellers-Kindle-Store-Engineering-Transportation/zgbs/digital-text/157626011/ref=zg_bs_nav_kstore_2_154606011
11,Foreign Languages,https://www.amazon.com/Best-Sellers-Kindle-Store-Foreign-Language-eBooks/zgbs/digital-text/7735160011/ref=zg_bs_nav_kstore_2_154606011
12,"Health, Fitness & Dieting",https://www.amazon.com/Best-Sellers-Kindle-Store-Health-Fitness-Dieting/zgbs/digital-text/156430011/ref=zg_bs_nav_kstore_2_154606011
13,History,https://www.amazon.com/Best-Sellers-Kindle-Store-History/zgbs/digital-text/156576011/ref=zg_bs_nav_kstore_2_154606011
14,Humor & Entertainment,https://www.amazon.com/Best-Sellers-Kindle-Store-Humor-Entertainment/zgbs/digital-text/156279011/ref=zg_bs_nav_kstore_2_154606011
15,Law,https://www.amazon.com/Best-Sellers-Kindle-Store-Law/zgbs/digital-text/156915011/ref=zg_bs_nav_kstore_2_154606011
16,LGBTQ+ eBooks,https://www.amazon.com/Best-Sellers-Kindle-Store-LGBTQ-eBooks/zgbs/digital-text/156424011/ref=zg_bs_nav_kstore_2_154606011
17,Literature & Fiction,https://www.amazon.com/Best-Sellers-Kindle-Store-Literature-Fiction/zgbs/digital-text/157028011/ref=zg_bs_nav_kstore_2_154606011
18,Medical eBooks,https://www.amazon.com/Best-Sellers-Kindle-Store-Medical-eBooks/zgbs/digital-text/157119011/ref=zg_bs_nav_kstore_2_154606011
19,"Mystery, Thriller & Suspense",https://www.amazon.com/Best-Sellers-Kindle-Store-Mystery-Thriller-Suspense/zgbs/digital-text/157305011/ref=zg_bs_nav_kstore_2_154606011
20,Nonfiction,https://www.amazon.com/Best-Sellers-Kindle-Store-Nonfiction/zgbs/digital-text/157325011/ref=zg_bs_nav_kstore_2_154606011
21,Parenting & Relationships,https://www.amazon.com/Best-Sellers-Kindle-Store-Parenting-Relationships/zgbs/digital-text/157584011/ref=zg_bs_nav_kstore_2_154606011
22,Politics & Social Sciences,https://www.amazon.com/Best-Sellers-Kindle-Store-Politics-Social-Sciences/zgbs/digital-text/305951011/ref=zg_bs_nav_kstore_2_154606011
23,Reference,https://www.amazon.com/Best-Sellers-Kindle-Store-Reference-eBooks/zgbs/digital-text/9154158011/ref=zg_bs_nav_kstore_2_154606011
24,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Kindle-Store-Religion-Spirituality/zgbs/digital-text/158280011/ref=zg_bs_nav_kstore_2_154606011
25,Romance,https://www.amazon.com/Best-Sellers-Kindle-Store-Romance/zgbs/digital-text/158566011/ref=zg_bs_nav_kstore_2_154606011
26,Science & Math,https://www.amazon.com/Best-Sellers-Kindle-Store-Science-Math/zgbs/digital-text/158597011/ref=zg_bs_nav_kstore_2_154606011
27,Science Fiction & Fantasy,https://www.amazon.com/Best-Sellers-Kindle-Store-Science-Fiction-Fantasy/zgbs/digital-text/668010011/ref=zg_bs_nav_kstore_2_154606011
28,Self-Help,https://www.amazon.com/Best-Sellers-Kindle-Store-Self-Help/zgbs/digital-text/156563011/ref=zg_bs_nav_kstore_2_154606011
29,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Kindle-Store-Sports-Outdoors/zgbs/digital-text/159818011/ref=zg_bs_nav_kstore_2_154606011
30,Teen & Young Adult,https://www.amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-eBooks/zgbs/digital-text/3511261011/ref=zg_bs_nav_kstore_2_154606011
31,Travel,https://www.amazon.com/Best-Sellers-Kindle-Store-Travel/zgbs/digital-text/159936011/ref=zg_bs_nav_kstore_2_154606011
