,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_284507_1
1,Bakeware,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bakeware/zgbs/home-garden/289668/ref=zg_bs_nav_hg_2_284507
2,"Coffee, Tea & Espresso",https://www.amazon.com/Best-Sellers-Home-Kitchen-Coffee-Tea-Espresso/zgbs/home-garden/915194/ref=zg_bs_nav_hg_2_284507
3,Cookware,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cookware/zgbs/home-garden/289814/ref=zg_bs_nav_hg_2_284507
4,Cutlery & Knife Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cutlery-Knife-Accessories/zgbs/home-garden/289851/ref=zg_bs_nav_hg_2_284507
5,Dining & Entertaining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining-Entertaining/zgbs/home-garden/13162311/ref=zg_bs_nav_hg_2_284507
6,Food Service Equipment & Supplies,https://www.amazon.com/Best-Sellers-Home-Kitchen-Food-Service-Equipment-Supplies/zgbs/home-garden/6054382011/ref=zg_bs_nav_hg_2_284507
7,Home Brewing & Wine Making,https://www.amazon.com/Best-Sellers-Home-Kitchen-Brewing-Wine-Making/zgbs/home-garden/979832011/ref=zg_bs_nav_hg_2_284507
8,Kitchen & Table Linens,https://www.amazon.com/Best-Sellers-Home-Kitchen-Table-Linens/zgbs/home-garden/1063916/ref=zg_bs_nav_hg_2_284507
9,Kitchen Utensils & Gadgets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Utensils-Gadgets/zgbs/home-garden/289754/ref=zg_bs_nav_hg_2_284507
10,Small Appliance Parts & Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Small-Appliance-Parts-Accessories/zgbs/home-garden/1267449011/ref=zg_bs_nav_hg_2_284507
11,Small Appliances,https://www.amazon.com/Best-Sellers-Home-Kitchen-Small-Appliances/zgbs/home-garden/289913/ref=zg_bs_nav_hg_2_284507
12,Storage & Organization,https://www.amazon.com/Best-Sellers-Home-Kitchen-Storage-Organization/zgbs/home-garden/510136/ref=zg_bs_nav_hg_2_284507
13,Travel & To-Go Drinkware,https://www.amazon.com/Best-Sellers-Home-Kitchen-Travel-Go-Drinkware/zgbs/home-garden/9630569011/ref=zg_bs_nav_hg_2_284507
14,Water Coolers & Filters,https://www.amazon.com/Best-Sellers-Home-Kitchen-Water-Coolers-Filters/zgbs/home-garden/510202/ref=zg_bs_nav_hg_2_284507
15,Wine Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Accessories/zgbs/home-garden/13299291/ref=zg_bs_nav_hg_2_284507
