,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_1063916_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_1063916_1
2,Aprons,https://www.amazon.com/Best-Sellers-Home-Kitchen-Aprons/zgbs/home-garden/668145011/ref=zg_bs_nav_hg_3_1063916
3,Chair Pads,https://www.amazon.com/Best-Sellers-Home-Kitchen-Chair-Pads/zgbs/home-garden/3735851/ref=zg_bs_nav_hg_3_1063916
4,Cloth Napkins,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cloth-Napkins/zgbs/home-garden/3741981/ref=zg_bs_nav_hg_3_1063916
5,Dish Cloths & Dish Towels,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dish-Cloths-Towels/zgbs/home-garden/3741991/ref=zg_bs_nav_hg_3_1063916
6,Disposable Table Covers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Disposable-Table-Covers/zgbs/home-garden/6054384011/ref=zg_bs_nav_hg_3_1063916
7,Kitchen Linen Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Linen-Sets/zgbs/home-garden/3741961/ref=zg_bs_nav_hg_3_1063916
8,Kitchen Rugs,https://www.amazon.com/Best-Sellers-Home-Kitchen-Rugs/zgbs/home-garden/644050011/ref=zg_bs_nav_hg_3_1063916
9,Place Mats,https://www.amazon.com/Best-Sellers-Home-Kitchen-Place-Mats/zgbs/home-garden/3742001/ref=zg_bs_nav_hg_3_1063916
10,Potholders & Oven Mitts,https://www.amazon.com/Best-Sellers-Home-Kitchen-Potholders-Oven-Mitts/zgbs/home-garden/3742011/ref=zg_bs_nav_hg_3_1063916
11,Table Runners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Table-Runners/zgbs/home-garden/3742021/ref=zg_bs_nav_hg_3_1063916
12,Tablecloths,https://www.amazon.com/Best-Sellers-Home-Kitchen-Tablecloths/zgbs/home-garden/3742031/ref=zg_bs_nav_hg_3_1063916
13,Tea Cozies,https://www.amazon.com/Best-Sellers-Home-Kitchen-Tea-Cozies/zgbs/home-garden/3118182011/ref=zg_bs_nav_hg_3_1063916
14,Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Table-Linen-Accessories/zgbs/home-garden/3741971/ref=zg_bs_nav_hg_3_1063916
