,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_289754_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_289754_1
2,Cooking Utensils,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cooking-Utensils/zgbs/home-garden/16439841/ref=zg_bs_nav_hg_3_289754
3,Measuring Tools & Scales,https://www.amazon.com/Best-Sellers-Home-Kitchen-Measuring-Tools-Scales/zgbs/home-garden/289785/ref=zg_bs_nav_hg_3_289754
4,Tool & Gadget Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cooks-Tool-Gadget-Sets/zgbs/home-garden/760354/ref=zg_bs_nav_hg_3_289754
5,"Graters, Peelers & Slicers",https://www.amazon.com/Best-Sellers-Home-Kitchen-Graters-Peelers-Slicers/zgbs/home-garden/16439851/ref=zg_bs_nav_hg_3_289754
6,Can Openers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Can-Openers/zgbs/home-garden/289755/ref=zg_bs_nav_hg_3_289754
7,Jar Openers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Jar-Openers/zgbs/home-garden/17548243011/ref=zg_bs_nav_hg_3_289754
8,Salt & Pepper,https://www.amazon.com/Best-Sellers-Home-Kitchen-Salt-Pepper-Mills-Shakers-Sets/zgbs/home-garden/289802/ref=zg_bs_nav_hg_3_289754
9,Seasoning & Spice Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Seasoning-Spice-Tools/zgbs/home-garden/289779/ref=zg_bs_nav_hg_3_289754
10,Colanders & Food Strainers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Colanders-Food-Strainers/zgbs/home-garden/16439831/ref=zg_bs_nav_hg_3_289754
11,Specialty Tools & Gadgets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Specialty-Tools-Gadgets/zgbs/home-garden/3737191/ref=zg_bs_nav_hg_3_289754
12,Thermometers & Timers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Thermometers-Timers/zgbs/home-garden/289807/ref=zg_bs_nav_hg_3_289754
13,Oil Sprayers & Dispensers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Oil-Sprayers-Dispensers/zgbs/home-garden/289789/ref=zg_bs_nav_hg_3_289754
14,Bar & Wine Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bar-Wine-Tools/zgbs/home-garden/760384/ref=zg_bs_nav_hg_3_289754
15,Fruit & Vegetable Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Fruit-Vegetable-Tools/zgbs/home-garden/760356/ref=zg_bs_nav_hg_3_289754
16,Pasta & Pizza Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Pasta-Pizza-Tools/zgbs/home-garden/289790/ref=zg_bs_nav_hg_3_289754
17,Meat & Poultry Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Meat-Poultry-Tools/zgbs/home-garden/760358/ref=zg_bs_nav_hg_3_289754
18,Salad Tools & Spinners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Salad-Tools-Spinners/zgbs/home-garden/289798/ref=zg_bs_nav_hg_3_289754
19,Cheese Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cheese-Tools/zgbs/home-garden/289758/ref=zg_bs_nav_hg_3_289754
20,Baking Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Baking-Tools-Accessories/zgbs/home-garden/289719/ref=zg_bs_nav_hg_3_289754
21,Barbecue Tools,https://www.amazon.com/Best-Sellers-Home-Kitchen-Grilling-BBQ-Utensils/zgbs/home-garden/553762/ref=zg_bs_nav_hg_3_289754
22,Kitchen Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Accessories/zgbs/home-garden/16439891/ref=zg_bs_nav_hg_3_289754
23,Straws,https://www.amazon.com/Best-Sellers-Home-Kitchen-Drinking-Straws/zgbs/home-garden/21331299011/ref=zg_bs_nav_hg_3_289754
