,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_3011391011_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_3011391011_1
2,"Bags, Cases & Sleeves",https://www.amazon.com/Best-Sellers-Electronics-Laptop-Bags-Cases-Sleeves/zgbs/electronics/172470/ref=zg_bs_nav_e_3_3011391011
3,Batteries,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Batteries/zgbs/electronics/720576/ref=zg_bs_nav_e_3_3011391011
4,Camera Privacy Covers,https://www.amazon.com/Best-Sellers-Electronics-Camera-Privacy-Covers/zgbs/electronics/21103668011/ref=zg_bs_nav_e_3_3011391011
5,Chargers & Adapters,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Chargers-Adapters/zgbs/electronics/11041841/ref=zg_bs_nav_e_3_3011391011
6,Cooling Pads & External Fans,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Cooling-Pads-External-Fans/zgbs/electronics/2243862011/ref=zg_bs_nav_e_3_3011391011
7,Docking Stations,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Docking-Stations/zgbs/electronics/778660/ref=zg_bs_nav_e_3_3011391011
8,Lapdesks,https://www.amazon.com/Best-Sellers-Electronics-Lap-Desks/zgbs/electronics/490924011/ref=zg_bs_nav_e_3_3011391011
9,Mounts,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Mounts/zgbs/electronics/3015408011/ref=zg_bs_nav_e_3_3011391011
10,Replacement Screens,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Replacement-Screens/zgbs/electronics/2612045011/ref=zg_bs_nav_e_3_3011391011
11,Screen Filters,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Screen-Filters/zgbs/electronics/3012922011/ref=zg_bs_nav_e_3_3011391011
12,Screen Protectors,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Screen-Protectors/zgbs/electronics/3012923011/ref=zg_bs_nav_e_3_3011391011
13,Security Locks,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Security-Locks/zgbs/electronics/3012924011/ref=zg_bs_nav_e_3_3011391011
14,Skins & Decals,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Skins-Decals/zgbs/electronics/3011392011/ref=zg_bs_nav_e_3_3011391011
15,Stands,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Stands/zgbs/electronics/3015409011/ref=zg_bs_nav_e_3_3011391011
