,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_289122_1
1,Latin Pop,https://www.amazon.com/Best-Sellers-Music-Latin-Pop/zgbs/music/63852/ref=zg_bs_nav_m_2_289122
2,Latin Hip-Hop,https://www.amazon.com/Best-Sellers-Music-Latin-Hip-Hop/zgbs/music/63853/ref=zg_bs_nav_m_2_289122
3,Latin Rock,https://www.amazon.com/Best-Sellers-Music-Latin-Rock/zgbs/music/301415011/ref=zg_bs_nav_m_2_289122
4,Latin Electronica,https://www.amazon.com/Best-Sellers-Music-Latin-Electronica/zgbs/music/554376011/ref=zg_bs_nav_m_2_289122
5,Latin Children's,https://www.amazon.com/Best-Sellers-Music-Latin-Childrens/zgbs/music/554379011/ref=zg_bs_nav_m_2_289122
6,Latin Christian,https://www.amazon.com/Best-Sellers-Music-Latin-Christian/zgbs/music/554380011/ref=zg_bs_nav_m_2_289122
7,Banda,https://www.amazon.com/Best-Sellers-Music-Banda/zgbs/music/16303441/ref=zg_bs_nav_m_2_289122
8,Bachata,https://www.amazon.com/Best-Sellers-Music-Bachata/zgbs/music/16297521/ref=zg_bs_nav_m_2_289122
9,Bolero,https://www.amazon.com/Best-Sellers-Music-Bolero/zgbs/music/292813/ref=zg_bs_nav_m_2_289122
10,Charanga,https://www.amazon.com/Best-Sellers-Music-Charanga/zgbs/music/301419011/ref=zg_bs_nav_m_2_289122
11,Conjunto,https://www.amazon.com/Best-Sellers-Music-Conjunto/zgbs/music/301402011/ref=zg_bs_nav_m_2_289122
12,Corridos,https://www.amazon.com/Best-Sellers-Music-Corridos/zgbs/music/16303451/ref=zg_bs_nav_m_2_289122
13,Cumbia,https://www.amazon.com/Best-Sellers-Music-Cumbia/zgbs/music/300063011/ref=zg_bs_nav_m_2_289122
14,Duranguense,https://www.amazon.com/Best-Sellers-Music-Duranguense/zgbs/music/16303461/ref=zg_bs_nav_m_2_289122
15,Flamenco,https://www.amazon.com/Best-Sellers-Music-Flamenco/zgbs/music/63850/ref=zg_bs_nav_m_2_289122
16,Grupero,https://www.amazon.com/Best-Sellers-Music-Grupero/zgbs/music/16303471/ref=zg_bs_nav_m_2_289122
17,Mambo,https://www.amazon.com/Best-Sellers-Music-Mambo/zgbs/music/292816/ref=zg_bs_nav_m_2_289122
18,Mariachi,https://www.amazon.com/Best-Sellers-Music-Mariachi/zgbs/music/292817/ref=zg_bs_nav_m_2_289122
19,Merengue,https://www.amazon.com/Best-Sellers-Music-Merengue/zgbs/music/292811/ref=zg_bs_nav_m_2_289122
20,Mexican Cumbia,https://www.amazon.com/Best-Sellers-Music-Mexican-Cumbia/zgbs/music/554370011/ref=zg_bs_nav_m_2_289122
21,Norteño,https://www.amazon.com/Best-Sellers-Music-Norteño/zgbs/music/16303481/ref=zg_bs_nav_m_2_289122
22,Ranchera,https://www.amazon.com/Best-Sellers-Music-Ranchera/zgbs/music/16303491/ref=zg_bs_nav_m_2_289122
23,Reggaeton,https://www.amazon.com/Best-Sellers-Music-Reggaeton/zgbs/music/554377011/ref=zg_bs_nav_m_2_289122
24,Rhumba,https://www.amazon.com/Best-Sellers-Music-Rhumba/zgbs/music/303273011/ref=zg_bs_nav_m_2_289122
25,Salsa,https://www.amazon.com/Best-Sellers-Music-Salsa/zgbs/music/63854/ref=zg_bs_nav_m_2_289122
26,Samba,https://www.amazon.com/Best-Sellers-Music-Samba/zgbs/music/292819/ref=zg_bs_nav_m_2_289122
27,Sierreno,https://www.amazon.com/Best-Sellers-Music-Sierreno/zgbs/music/554371011/ref=zg_bs_nav_m_2_289122
28,Tango,https://www.amazon.com/Best-Sellers-Music-Tango/zgbs/music/63855/ref=zg_bs_nav_m_2_289122
29,Tejano,https://www.amazon.com/Best-Sellers-Music-Tejano/zgbs/music/63856/ref=zg_bs_nav_m_2_289122
30,Tierra Caliente,https://www.amazon.com/Best-Sellers-Music-Tierra-Caliente/zgbs/music/554372011/ref=zg_bs_nav_m_2_289122
31,Vallenato,https://www.amazon.com/Best-Sellers-Music-Vallenato/zgbs/music/554374011/ref=zg_bs_nav_m_2_289122
