,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_10777_1
1,Administrative Law,https://www.amazon.com/Best-Sellers-Books-Administrative-Law/zgbs/books/173492/ref=zg_bs_nav_b_2_10777
2,Biographies,https://www.amazon.com/Best-Sellers-Books-Lawyer-Judge-Biographies/zgbs/books/2422/ref=zg_bs_nav_b_2_10777
3,Business,https://www.amazon.com/Best-Sellers-Books-Business-Law/zgbs/books/173486/ref=zg_bs_nav_b_2_10777
4,Constitutional Law,https://www.amazon.com/Best-Sellers-Books-Constitutional-Law/zgbs/books/227137/ref=zg_bs_nav_b_2_10777
5,Criminal Law,https://www.amazon.com/Best-Sellers-Books-Criminal-Law/zgbs/books/173489/ref=zg_bs_nav_b_2_10777
6,Dictionaries & Terminology,https://www.amazon.com/Best-Sellers-Books-Law-Dictionaries-Terminology/zgbs/books/10845/ref=zg_bs_nav_b_2_10777
7,Environmental & Natural Resources Law,https://www.amazon.com/Best-Sellers-Books-Environmental-Natural-Resources-Law/zgbs/books/10868/ref=zg_bs_nav_b_2_10777
8,Estate Planning,https://www.amazon.com/Best-Sellers-Books-Legal-Estate-Planning/zgbs/books/5744305011/ref=zg_bs_nav_b_2_10777
9,Ethics & Professional Responsibility,https://www.amazon.com/Best-Sellers-Books-Professional-Responsibility-Law-Ethics/zgbs/books/10871/ref=zg_bs_nav_b_2_10777
10,Family Law,https://www.amazon.com/Best-Sellers-Books-Family-Law/zgbs/books/227139/ref=zg_bs_nav_b_2_10777
11,Foreign & International Law,https://www.amazon.com/Best-Sellers-Books-Foreign-International-Law/zgbs/books/10898/ref=zg_bs_nav_b_2_10777
12,Health & Medical Law,https://www.amazon.com/Best-Sellers-Books-Health-Medical-Law/zgbs/books/5744306011/ref=zg_bs_nav_b_2_10777
13,Intellectual Property,https://www.amazon.com/Best-Sellers-Books-Intellectual-Property-Law/zgbs/books/173488/ref=zg_bs_nav_b_2_10777
14,Law Practice,https://www.amazon.com/Best-Sellers-Books-Law-Practice/zgbs/books/173487/ref=zg_bs_nav_b_2_10777
15,Legal Education,https://www.amazon.com/Best-Sellers-Books-Legal-Education/zgbs/books/10915/ref=zg_bs_nav_b_2_10777
16,Legal History,https://www.amazon.com/Best-Sellers-Books-Legal-History/zgbs/books/10922/ref=zg_bs_nav_b_2_10777
17,Legal Self-Help,https://www.amazon.com/Best-Sellers-Books-Legal-Self-Help/zgbs/books/173483/ref=zg_bs_nav_b_2_10777
18,Legal Theory & Systems,https://www.amazon.com/Best-Sellers-Books-Legal-Theory-Systems/zgbs/books/173495/ref=zg_bs_nav_b_2_10777
19,Media & the Law,https://www.amazon.com/Best-Sellers-Books-Media-Law/zgbs/books/10941/ref=zg_bs_nav_b_2_10777
20,Philosophy,https://www.amazon.com/Best-Sellers-Books-Philosophy-Law/zgbs/books/16022411/ref=zg_bs_nav_b_2_10777
21,Rules & Procedures,https://www.amazon.com/Best-Sellers-Books-Legal-Rules-Procedures/zgbs/books/173490/ref=zg_bs_nav_b_2_10777
22,Specialties,https://www.amazon.com/Best-Sellers-Books-Law-Specialties/zgbs/books/173491/ref=zg_bs_nav_b_2_10777
23,Tax Law,https://www.amazon.com/Best-Sellers-Books-Tax-Law/zgbs/books/227138/ref=zg_bs_nav_b_2_10777
