,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166269011_1
1,Counting & Math Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Counting-Math/zgbs/toys-and-games/2488802011/ref=zg_bs_nav_t_2_166269011
2,Detective & Spy,https://www.amazon.com/Best-Sellers-Toys-Games-Childrens-Detective-Spy-Kits/zgbs/toys-and-games/2488770011/ref=zg_bs_nav_t_2_166269011
3,Electronic Learning Products,https://www.amazon.com/Best-Sellers-Toys-Games-Electronic-Learning-Products/zgbs/toys-and-games/166275011/ref=zg_bs_nav_t_2_166269011
4,Flash Cards,https://www.amazon.com/Best-Sellers-Toys-Games-Flash-Cards/zgbs/toys-and-games/166243011/ref=zg_bs_nav_t_2_166269011
5,Geographic Globes,https://www.amazon.com/Best-Sellers-Toys-Games-Geographic-Globes/zgbs/toys-and-games/166286011/ref=zg_bs_nav_t_2_166269011
6,Habitats,https://www.amazon.com/Best-Sellers-Toys-Games-Habitat-Science-Kits/zgbs/toys-and-games/166303011/ref=zg_bs_nav_t_2_166269011
7,Marble Runs,https://www.amazon.com/Best-Sellers-Toys-Games-Marble-Runs/zgbs/toys-and-games/2522040011/ref=zg_bs_nav_t_2_166269011
8,Musical Instruments,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Musical-Instruments/zgbs/toys-and-games/166326011/ref=zg_bs_nav_t_2_166269011
9,Optics,https://www.amazon.com/Best-Sellers-Toys-Games-Childrens-Optics/zgbs/toys-and-games/19318811011/ref=zg_bs_nav_t_2_166269011
10,Reading & Writing,https://www.amazon.com/Best-Sellers-Toys-Games-Reading-Writing-Development/zgbs/toys-and-games/166289011/ref=zg_bs_nav_t_2_166269011
11,Rock Tumblers,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Rock-Tumblers/zgbs/toys-and-games/166307011/ref=zg_bs_nav_t_2_166269011
12,Science Kits & Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Science-Kits/zgbs/toys-and-games/166294011/ref=zg_bs_nav_t_2_166269011
13,Solar Power Kits,https://www.amazon.com/Best-Sellers-Toys-Games-Solar-Power-Kits/zgbs/toys-and-games/2488783011/ref=zg_bs_nav_t_2_166269011
