,category,URL
0,Apps & Games,https://www.amazon.com/Best-Sellers-Appstore-Android/zgbs/mobile-apps/ref=zg_bs_unv_mas_1_9408710011_1
1,Astrology,https://www.amazon.com/Best-Sellers-Appstore-Android-Astrology/zgbs/mobile-apps/9408711011/ref=zg_bs_nav_mas_2_9408710011
2,Beauty & Cosmetics,https://www.amazon.com/Best-Sellers-Appstore-Android-Beauty-Cosmetics/zgbs/mobile-apps/9408713011/ref=zg_bs_nav_mas_2_9408710011
3,Celebrities,https://www.amazon.com/Best-Sellers-Appstore-Android-Celebrities/zgbs/mobile-apps/9408714011/ref=zg_bs_nav_mas_2_9408710011
4,Cooking & Recipes,https://www.amazon.com/Best-Sellers-Appstore-Android-Cooking-Recipes/zgbs/mobile-apps/9408524011/ref=zg_bs_nav_mas_2_9408710011
5,Crafts & DIY,https://www.amazon.com/Best-Sellers-Appstore-Android-Crafts-DIY/zgbs/mobile-apps/9408716011/ref=zg_bs_nav_mas_2_9408710011
6,Creative Writing,https://www.amazon.com/Best-Sellers-Appstore-Android-Creative-Writing/zgbs/mobile-apps/9408717011/ref=zg_bs_nav_mas_2_9408710011
7,Diaries,https://www.amazon.com/Best-Sellers-Appstore-Android-Diaries/zgbs/mobile-apps/9408718011/ref=zg_bs_nav_mas_2_9408710011
8,Fashion & Style,https://www.amazon.com/Best-Sellers-Appstore-Android-Fashion-Style/zgbs/mobile-apps/9408722011/ref=zg_bs_nav_mas_2_9408710011
9,Game Rules,https://www.amazon.com/Best-Sellers-Appstore-Android-Game-Rules/zgbs/mobile-apps/9408723011/ref=zg_bs_nav_mas_2_9408710011
10,Health & Fitness,https://www.amazon.com/Best-Sellers-Appstore-Android-Health-Fitness/zgbs/mobile-apps/9408749011/ref=zg_bs_nav_mas_2_9408710011
11,Home & Garden,https://www.amazon.com/Best-Sellers-Appstore-Android-Home-Garden/zgbs/mobile-apps/9408725011/ref=zg_bs_nav_mas_2_9408710011
12,Meditation Guides,https://www.amazon.com/Best-Sellers-Appstore-Android-Meditation-Guides/zgbs/mobile-apps/9408727011/ref=zg_bs_nav_mas_2_9408710011
13,Outdoors & Nature,https://www.amazon.com/Best-Sellers-Appstore-Android-Outdoors-Nature/zgbs/mobile-apps/9408729011/ref=zg_bs_nav_mas_2_9408710011
14,Parenting,https://www.amazon.com/Best-Sellers-Appstore-Android-Parenting/zgbs/mobile-apps/9408730011/ref=zg_bs_nav_mas_2_9408710011
15,Pets & Animals,https://www.amazon.com/Best-Sellers-Appstore-Android-Pets-Animals/zgbs/mobile-apps/9408731011/ref=zg_bs_nav_mas_2_9408710011
16,Quotes,https://www.amazon.com/Best-Sellers-Appstore-Android-Quotes/zgbs/mobile-apps/9408732011/ref=zg_bs_nav_mas_2_9408710011
17,Relationships,https://www.amazon.com/Best-Sellers-Appstore-Android-Relationships/zgbs/mobile-apps/9408740011/ref=zg_bs_nav_mas_2_9408710011
18,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Appstore-Android-Religion-Spirituality/zgbs/mobile-apps/9408741011/ref=zg_bs_nav_mas_2_9408710011
19,Self Improvement,https://www.amazon.com/Best-Sellers-Appstore-Android-Self-Improvement/zgbs/mobile-apps/9408743011/ref=zg_bs_nav_mas_2_9408710011
20,Sexuality,https://www.amazon.com/Best-Sellers-Appstore-Android-Sexuality/zgbs/mobile-apps/9408744011/ref=zg_bs_nav_mas_2_9408710011
21,Tattoos & Body Piercing,https://www.amazon.com/Best-Sellers-Appstore-Android-Tattoos-Body-Piercing/zgbs/mobile-apps/9408746011/ref=zg_bs_nav_mas_2_9408710011
22,Wedding,https://www.amazon.com/Best-Sellers-Appstore-Android-Wedding/zgbs/mobile-apps/9408747011/ref=zg_bs_nav_mas_2_9408710011
23,Wine & Beverages,https://www.amazon.com/Best-Sellers-Appstore-Android-Wine-Beverages/zgbs/mobile-apps/9408527011/ref=zg_bs_nav_mas_2_9408710011
