,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_17_1
1,Action & Adventure,https://www.amazon.com/Best-Sellers-Books-Action-Adventure-Fiction/zgbs/books/720360/ref=zg_bs_nav_b_2_17
2,Ancient & Medieval Literature,https://www.amazon.com/Best-Sellers-Books-Ancient-Medieval-Literature/zgbs/books/5391236011/ref=zg_bs_nav_b_2_17
3,Black & African American,https://www.amazon.com/Best-Sellers-Books-Black-African-American-Literature/zgbs/books/9823/ref=zg_bs_nav_b_2_17
4,British & Irish,https://www.amazon.com/Best-Sellers-Books-British-Irish-Literature-Fiction/zgbs/books/10016/ref=zg_bs_nav_b_2_17
5,Classics,https://www.amazon.com/Best-Sellers-Books-Classic-Literature-Fiction/zgbs/books/10399/ref=zg_bs_nav_b_2_17
6,Contemporary,https://www.amazon.com/Best-Sellers-Books-Contemporary-Literature-Fiction/zgbs/books/10129/ref=zg_bs_nav_b_2_17
7,Dramas & Plays,https://www.amazon.com/Best-Sellers-Books-Dramas-Plays/zgbs/books/2159/ref=zg_bs_nav_b_2_17
8,Erotica,https://www.amazon.com/Best-Sellers-Books-Erotic-Literature-Fiction/zgbs/books/10141/ref=zg_bs_nav_b_2_17
9,Essays & Correspondence,https://www.amazon.com/Best-Sellers-Books-Essays-Correspondence/zgbs/books/10108/ref=zg_bs_nav_b_2_17
10,Genre Fiction,https://www.amazon.com/Best-Sellers-Books-Genre-Literature-Fiction/zgbs/books/10134/ref=zg_bs_nav_b_2_17
11,Historical Fiction,https://www.amazon.com/Best-Sellers-Books-Historical-Fiction/zgbs/books/10177/ref=zg_bs_nav_b_2_17
12,History & Criticism,https://www.amazon.com/Best-Sellers-Books-Literary-Criticism/zgbs/books/10204/ref=zg_bs_nav_b_2_17
13,Humor & Satire,https://www.amazon.com/Best-Sellers-Books-Humor-Satire-Fiction/zgbs/books/4465/ref=zg_bs_nav_b_2_17
14,Literary,https://www.amazon.com/Best-Sellers-Books-Literary-Fiction/zgbs/books/10132/ref=zg_bs_nav_b_2_17
15,Mythology & Folk Tales,https://www.amazon.com/Best-Sellers-Books-Mythology-Folk-Tales/zgbs/books/5391238011/ref=zg_bs_nav_b_2_17
16,Poetry,https://www.amazon.com/Best-Sellers-Books-Poetry/zgbs/books/10248/ref=zg_bs_nav_b_2_17
17,Short Stories & Anthologies,https://www.amazon.com/Best-Sellers-Books-Short-Stories-Anthologies/zgbs/books/10300/ref=zg_bs_nav_b_2_17
18,United States,https://www.amazon.com/Best-Sellers-Books-American-Literature/zgbs/books/9822/ref=zg_bs_nav_b_2_17
19,Women's Fiction,https://www.amazon.com/Best-Sellers-Books-Womens-Literature-Fiction/zgbs/books/542654/ref=zg_bs_nav_b_2_17
20,World Literature,https://www.amazon.com/Best-Sellers-Books-World-Literature/zgbs/books/10311/ref=zg_bs_nav_b_2_17
