,category,URL
0,Musical Instruments,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_unv_MI_1_405757011_1
1,Powered Mixers,https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Powered-Mixers/zgbs/musical-instruments/11974871/ref=zg_bs_nav_MI_2_405757011
2,"Monitors, Speakers & Subwoofers",https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Monitors-Speakers-Subwoofers/zgbs/musical-instruments/11974921/ref=zg_bs_nav_MI_2_405757011
3,Microphones,https://www.amazon.com/Best-Sellers-Musical-Instruments-Live-Performance-Microphones/zgbs/musical-instruments/8882491011/ref=zg_bs_nav_MI_2_405757011
4,PA Systems,https://www.amazon.com/Best-Sellers-Musical-Instruments-PA-Systems/zgbs/musical-instruments/11975001/ref=zg_bs_nav_MI_2_405757011
5,Power Amplifiers,https://www.amazon.com/Best-Sellers-Musical-Instruments-Power-Amplifiers/zgbs/musical-instruments/11975151/ref=zg_bs_nav_MI_2_405757011
6,Lighting Equipment & Accessories,https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Lighting-Equipment-Accessories/zgbs/musical-instruments/11974231/ref=zg_bs_nav_MI_2_405757011
7,Special Effects,https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Special-Effects/zgbs/musical-instruments/8882526011/ref=zg_bs_nav_MI_2_405757011
8,Stage & Studio Cables,https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Studio-Cables/zgbs/musical-instruments/11973391/ref=zg_bs_nav_MI_2_405757011
9,Bags & Cases,https://www.amazon.com/Best-Sellers-Musical-Instruments-Stage-Studio-Equipment-Bags-Cases/zgbs/musical-instruments/5524183011/ref=zg_bs_nav_MI_2_405757011
