,category,URL
0,"Clothing, Shoes & Jewelry",https://www.amazon.com/Best-Sellers/zgbs/fashion/ref=zg_bs_unv_1_9479199011_1
1,Backpacks,https://www.amazon.com/Best-Sellers-Backpacks/zgbs/fashion/360832011/ref=zg_bs_nav_2_9479199011
2,Briefcases,https://www.amazon.com/Best-Sellers-Briefcases/zgbs/fashion/2204831011/ref=zg_bs_nav_2_9479199011
3,Gym Bags,https://www.amazon.com/Best-Sellers-Gym-Bags/zgbs/fashion/15743181/ref=zg_bs_nav_2_9479199011
4,Laptop Bags,https://www.amazon.com/Best-Sellers-Laptop-Bags/zgbs/fashion/9971584011/ref=zg_bs_nav_2_9479199011
5,Luggage,https://www.amazon.com/Best-Sellers-Luggage/zgbs/fashion/15743251/ref=zg_bs_nav_2_9479199011
6,Messenger Bags,https://www.amazon.com/Best-Sellers-Messenger-Bags/zgbs/fashion/15743231/ref=zg_bs_nav_2_9479199011
7,Travel Accessories,https://www.amazon.com/Best-Sellers-Travel-Accessories/zgbs/fashion/15743971/ref=zg_bs_nav_2_9479199011
8,Travel Duffels,https://www.amazon.com/Best-Sellers-Travel-Duffel-Bags/zgbs/fashion/15743211/ref=zg_bs_nav_2_9479199011
9,Travel Totes,https://www.amazon.com/Best-Sellers-Travel-Tote-Bags/zgbs/fashion/15743241/ref=zg_bs_nav_2_9479199011
10,Umbrellas,https://www.amazon.com/Best-Sellers-Rain-Umbrellas/zgbs/fashion/15744111/ref=zg_bs_nav_2_9479199011
11,Waist Packs,https://www.amazon.com/Best-Sellers-Fashion-Waist-Packs/zgbs/fashion/2477385011/ref=zg_bs_nav_2_9479199011
