,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_319574011_1
1,Autopilots,https://www.amazon.com/Best-Sellers-Electronics-Boating-Autopilots/zgbs/electronics/3398301/ref=zg_bs_nav_e_2_319574011
2,Fish Finders & Depth Finders,https://www.amazon.com/Best-Sellers-Electronics-Fish-Finders-Depth/zgbs/electronics/551460/ref=zg_bs_nav_e_2_319574011
3,Marine Amplifiers,https://www.amazon.com/Best-Sellers-Electronics-Marine-Amplifiers/zgbs/electronics/2383694011/ref=zg_bs_nav_e_2_319574011
4,Marine Antennas,https://www.amazon.com/Best-Sellers-Electronics-Boat-Antennas/zgbs/electronics/3398291/ref=zg_bs_nav_e_2_319574011
5,Marine GPS Accessories,https://www.amazon.com/Best-Sellers-Electronics-Marine-GPS-Accessories/zgbs/electronics/719943011/ref=zg_bs_nav_e_2_319574011
6,Marine GPS Chartplotters,https://www.amazon.com/Best-Sellers-Electronics-Marine-GPS-Units-Chartplotters/zgbs/electronics/551462/ref=zg_bs_nav_e_2_319574011
7,Marine Speakers,https://www.amazon.com/Best-Sellers-Electronics-Marine-Speakers/zgbs/electronics/10980871/ref=zg_bs_nav_e_2_319574011
8,Marine Stereos,https://www.amazon.com/Best-Sellers-Electronics-Marine-Stereo-Receivers/zgbs/electronics/10980641/ref=zg_bs_nav_e_2_319574011
9,Marine Subwoofers,https://www.amazon.com/Best-Sellers-Electronics-Marine-Subwoofers/zgbs/electronics/1293681011/ref=zg_bs_nav_e_2_319574011
10,Marine Two-Way Radios,https://www.amazon.com/Best-Sellers-Electronics-Marine-Two-Way-Radios/zgbs/electronics/2623486011/ref=zg_bs_nav_e_2_319574011
11,Radar Systems,https://www.amazon.com/Best-Sellers-Electronics-Marine-Electronic-Radar-Systems/zgbs/electronics/319575011/ref=zg_bs_nav_e_2_319574011
