,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_256346011_1
1,Cable Ties,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electrical-Cable-Ties/zgbs/industrial/507844/ref=zg_bs_nav_indust_2_256346011
2,Casters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Casters/zgbs/industrial/16412291/ref=zg_bs_nav_indust_2_256346011
3,Coil Chains,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Coil-Chains/zgbs/industrial/16412371/ref=zg_bs_nav_indust_2_256346011
4,Drum & Pail Handling Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Drum-Pail-Handling-Equipment/zgbs/industrial/401559011/ref=zg_bs_nav_indust_2_256346011
5,Drywall Lifts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Drywall-Lifts/zgbs/industrial/553518/ref=zg_bs_nav_indust_2_256346011
6,Forklift Booms,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Forklift-Booms/zgbs/industrial/3003667011/ref=zg_bs_nav_indust_2_256346011
7,Forklifts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Forklifts/zgbs/industrial/256350011/ref=zg_bs_nav_indust_2_256346011
8,HVAC Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-HVAC-Equipment/zgbs/industrial/720590011/ref=zg_bs_nav_indust_2_256346011
9,Hydraulic Lifting Cylinders,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hydraulic-Lifting-Cylinders/zgbs/industrial/256361011/ref=zg_bs_nav_indust_2_256346011
10,Hydraulic Lifting Pumps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Hydraulic-Lifting-Pumps/zgbs/industrial/256362011/ref=zg_bs_nav_indust_2_256346011
11,Industrial Light Towers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Light-Towers/zgbs/industrial/3003668011/ref=zg_bs_nav_indust_2_256346011
12,Industrial Magnets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Magnets/zgbs/industrial/1265128011/ref=zg_bs_nav_indust_2_256346011
13,Load Binders,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Load-Binders/zgbs/industrial/256382011/ref=zg_bs_nav_indust_2_256346011
14,Loading Dock Bumpers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Loading-Dock-Bumpers/zgbs/industrial/1265124011/ref=zg_bs_nav_indust_2_256346011
15,Loading Dock Levelers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Loading-Dock-Levelers/zgbs/industrial/1265125011/ref=zg_bs_nav_indust_2_256346011
16,Loading Dock Plates,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Loading-Dock-Plates/zgbs/industrial/1265126011/ref=zg_bs_nav_indust_2_256346011
17,Loading Dock Wheel Chocks,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Wheel-Immobilizers-Chocks/zgbs/industrial/15708131/ref=zg_bs_nav_indust_2_256346011
18,Material Transport Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Material-Transport-Equipment/zgbs/industrial/19502226011/ref=zg_bs_nav_indust_2_256346011
19,Pallet Strappers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Pallet-Strappers/zgbs/industrial/401572011/ref=zg_bs_nav_indust_2_256346011
20,Pallets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Pallets/zgbs/industrial/256384011/ref=zg_bs_nav_indust_2_256346011
21,Personnel Lifts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Personnel-Lifts/zgbs/industrial/3003670011/ref=zg_bs_nav_indust_2_256346011
22,Pneumatic Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Pneumatic-Equipment/zgbs/industrial/1265132011/ref=zg_bs_nav_indust_2_256346011
23,Pulling & Lifting,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Pulling-Lifting/zgbs/industrial/383596011/ref=zg_bs_nav_indust_2_256346011
24,Ramps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Ramps/zgbs/industrial/256393011/ref=zg_bs_nav_indust_2_256346011
25,Roller Stands,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Roller-Stands/zgbs/industrial/256399011/ref=zg_bs_nav_indust_2_256346011
26,Securing Straps,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Securing-Straps/zgbs/industrial/256400011/ref=zg_bs_nav_indust_2_256346011
27,Shelves & Racking Systems,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Shelves-Racking-Systems/zgbs/industrial/18697914011/ref=zg_bs_nav_indust_2_256346011
28,Wheels,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Material-Handling-Wheels/zgbs/industrial/16413351/ref=zg_bs_nav_indust_2_256346011
