,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_371469011_1
1,Bacon,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Bacon/zgbs/grocery/2256164011/ref=zg_bs_nav_gro_2_371469011
2,Beef,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Beef/zgbs/grocery/371470011/ref=zg_bs_nav_gro_2_371469011
3,Chicken,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Chicken/zgbs/grocery/2256156011/ref=zg_bs_nav_gro_2_371469011
4,Foie Gras & Pâtés,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Foie-Gras-Pâtés/zgbs/grocery/6518760011/ref=zg_bs_nav_gro_2_371469011
5,Frozen Meats,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Frozen-Meat/zgbs/grocery/6459214011/ref=zg_bs_nav_gro_2_371469011
6,Hot Dogs & Franks,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Hot-Dogs-Franks/zgbs/grocery/6518846011/ref=zg_bs_nav_gro_2_371469011
7,Lamb,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Lamb-Meat/zgbs/grocery/6518852011/ref=zg_bs_nav_gro_2_371469011
8,Meat & Seafood Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meat-Seafood-Gifts/zgbs/grocery/2255579011/ref=zg_bs_nav_gro_2_371469011
9,Pork,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Pork-Meat/zgbs/grocery/6519153011/ref=zg_bs_nav_gro_2_371469011
10,Sausages,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Sausages/zgbs/grocery/371476011/ref=zg_bs_nav_gro_2_371469011
11,Seafood,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Seafood/zgbs/grocery/371477011/ref=zg_bs_nav_gro_2_371469011
12,Turducken,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Turducken/zgbs/grocery/6519646011/ref=zg_bs_nav_gro_2_371469011
13,Turkey,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Turkey/zgbs/grocery/2256158011/ref=zg_bs_nav_gro_2_371469011
14,Veal,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Veal-Meats/zgbs/grocery/6519828011/ref=zg_bs_nav_gro_2_371469011
15,Wild Game & Fowl,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Wild-Game-Fowl-Meat/zgbs/grocery/6519832011/ref=zg_bs_nav_gro_2_371469011
