,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_6518859011_1
1,Bacon,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Bacon/zgbs/grocery/6515618011/ref=zg_bs_nav_gro_2_6518859011
2,Burgers & Patties,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Burgers-Patties/zgbs/grocery/6518860011/ref=zg_bs_nav_gro_2_6518859011
3,Deli Slices,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Deli-Slices/zgbs/grocery/17867428011/ref=zg_bs_nav_gro_2_6518859011
4,"Hot Dogs, Links & Sausages",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Hot-Dogs-Links-Sausages/zgbs/grocery/6518863011/ref=zg_bs_nav_gro_2_6518859011
5,Jerky,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Jerky/zgbs/grocery/17867430011/ref=zg_bs_nav_gro_2_6518859011
6,Loaves & Roasts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Loaves-Roasts/zgbs/grocery/17867431011/ref=zg_bs_nav_gro_2_6518859011
7,"Meatballs, Chunks & Crumbles",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Meatballs-Chunks-Crumbles/zgbs/grocery/17867436011/ref=zg_bs_nav_gro_2_6518859011
8,Nuggets & Wings,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Nuggets-Wings/zgbs/grocery/17867443011/ref=zg_bs_nav_gro_2_6518859011
9,Pulled & Flaked Meats,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Pulled-Flaked-Meats/zgbs/grocery/17867448011/ref=zg_bs_nav_gro_2_6518859011
10,Seitan,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Seitan/zgbs/grocery/6507195011/ref=zg_bs_nav_gro_2_6518859011
11,Strips & Cutlets,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meatless-Strips-Cutlets/zgbs/grocery/17867453011/ref=zg_bs_nav_gro_2_6518859011
12,Tempeh,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Tempeh/zgbs/grocery/6507196011/ref=zg_bs_nav_gro_2_6518859011
13,Tofu,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Tofu/zgbs/grocery/6507197011/ref=zg_bs_nav_gro_2_6518859011
