,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_173514_1
1,Administration & Medicine Economics,https://www.amazon.com/Best-Sellers-Books-Medical-Administration-Economics/zgbs/books/227560/ref=zg_bs_nav_b_2_173514
2,Allied Health Professions,https://www.amazon.com/Best-Sellers-Books-Allied-Health-Professions/zgbs/books/227571/ref=zg_bs_nav_b_2_173514
3,Basic Sciences,https://www.amazon.com/Best-Sellers-Books-Basic-Medical-Sciences/zgbs/books/227191/ref=zg_bs_nav_b_2_173514
4,Dentistry,https://www.amazon.com/Best-Sellers-Books-Dentistry/zgbs/books/227604/ref=zg_bs_nav_b_2_173514
5,History,https://www.amazon.com/Best-Sellers-Books-History-Medicine/zgbs/books/3559244011/ref=zg_bs_nav_b_2_173514
6,Medical Informatics,https://www.amazon.com/Best-Sellers-Books-Medical-Informatics/zgbs/books/266181/ref=zg_bs_nav_b_2_173514
7,Medicine,https://www.amazon.com/Best-Sellers-Books-Medicine/zgbs/books/265542/ref=zg_bs_nav_b_2_173514
8,Nursing,https://www.amazon.com/Best-Sellers-Books-Nursing/zgbs/books/227640/ref=zg_bs_nav_b_2_173514
9,Pharmacology,https://www.amazon.com/Best-Sellers-Books-Pharmacology/zgbs/books/265544/ref=zg_bs_nav_b_2_173514
10,Psychology,https://www.amazon.com/Best-Sellers-Books-Medical-Psychology/zgbs/books/6511980011/ref=zg_bs_nav_b_2_173514
11,Research,https://www.amazon.com/Best-Sellers-Books-Medical-Research/zgbs/books/227677/ref=zg_bs_nav_b_2_173514
12,Veterinary Medicine,https://www.amazon.com/Best-Sellers-Books-Veterinary-Medicine/zgbs/books/227719/ref=zg_bs_nav_b_2_173514
