,category,URL
0,Audible Books & Originals,https://www.amazon.com/Best-Sellers-Audible-Audiobooks/zgbs/audible/ref=zg_bs_unv_1_18574547011_1
1,Banks & Banking,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Banks-Banking/zgbs/audible/18574549011/ref=zg_bs_nav_2_18574547011
2,Corporate & Public Finance,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Corporate-Public-Finance/zgbs/audible/18574550011/ref=zg_bs_nav_2_18574547011
3,E-Commerce,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Commerce/zgbs/audible/18574553011/ref=zg_bs_nav_2_18574547011
4,Economics,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Economics/zgbs/audible/18574554011/ref=zg_bs_nav_2_18574547011
5,Insurance,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Insurance/zgbs/audible/18574565011/ref=zg_bs_nav_2_18574547011
6,International,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-International-Business/zgbs/audible/18574566011/ref=zg_bs_nav_2_18574547011
7,Investing & Trading,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Investing-Trading/zgbs/audible/18574572011/ref=zg_bs_nav_2_18574547011
8,Personal Finance,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Personal-Finance/zgbs/audible/18574581011/ref=zg_bs_nav_2_18574547011
9,Real Estate,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Real-Estate-Investing-Finance/zgbs/audible/18574587011/ref=zg_bs_nav_2_18574547011
