,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_1292115011_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_1292115011_1
2,Computer Accessories & Peripherals,https://www.amazon.com/Best-Sellers-Electronics-Computer-Accessories-Peripherals/zgbs/electronics/172456/ref=zg_bs_nav_e_3_1292115011
3,Computer Components,https://www.amazon.com/Best-Sellers-Electronics-Computer-Components/zgbs/electronics/193870011/ref=zg_bs_nav_e_3_1292115011
4,Computers & Tablets,https://www.amazon.com/Best-Sellers-Electronics-Computers-Tablets/zgbs/electronics/13896617011/ref=zg_bs_nav_e_3_1292115011
5,Data Storage,https://www.amazon.com/Best-Sellers-Electronics-Data-Storage/zgbs/electronics/1292110011/ref=zg_bs_nav_e_3_1292115011
6,Laptop Accessories,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Accessories/zgbs/electronics/3011391011/ref=zg_bs_nav_e_3_1292115011
7,Networking Products,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking/zgbs/electronics/172504/ref=zg_bs_nav_e_3_1292115011
8,Power Strips & Surge Protectors,https://www.amazon.com/Best-Sellers-Electronics-Power-Strips-Surge-Protectors/zgbs/electronics/17854127011/ref=zg_bs_nav_e_3_1292115011
9,Printers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Printers/zgbs/electronics/172635/ref=zg_bs_nav_e_3_1292115011
10,Scanners,https://www.amazon.com/Best-Sellers-Electronics-Computer-Scanners/zgbs/electronics/172584/ref=zg_bs_nav_e_3_1292115011
11,Servers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Servers/zgbs/electronics/11036071/ref=zg_bs_nav_e_3_1292115011
12,Tablet Accessories,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Accessories/zgbs/electronics/2348628011/ref=zg_bs_nav_e_3_1292115011
13,Tablet Replacement Parts,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Replacement-Parts/zgbs/electronics/15524379011/ref=zg_bs_nav_e_3_1292115011
14,Warranties & Services,https://www.amazon.com/Best-Sellers-Electronics-Computer-Warranties-Services/zgbs/electronics/16285851/ref=zg_bs_nav_e_3_1292115011
