,category,URL
0,Video Games,https://www.amazon.com/best-sellers-video-games/zgbs/videogames/ref=zg_bs_unv_vg_1_294940_1
1,3DO,https://www.amazon.com/Best-Sellers-Video-Games-3DO-Consoles-Accessories/zgbs/videogames/10988231/ref=zg_bs_nav_vg_2_294940
2,Atari 2600,https://www.amazon.com/Best-Sellers-Video-Games-Atari-2600-Consoles-Accessories/zgbs/videogames/10989511/ref=zg_bs_nav_vg_2_294940
3,Atari 5200,https://www.amazon.com/Best-Sellers-Video-Games-Atari-5200-Consoles-Accessories/zgbs/videogames/10990151/ref=zg_bs_nav_vg_2_294940
4,Atari 7800,https://www.amazon.com/Best-Sellers-Video-Games-Atari-7800-Consoles-Accessories/zgbs/videogames/10990791/ref=zg_bs_nav_vg_2_294940
5,Atari Jaguar,https://www.amazon.com/Best-Sellers-Video-Games-Atari-Jaguar-Consoles-Accessories/zgbs/videogames/10991431/ref=zg_bs_nav_vg_2_294940
6,Atari Lynx,https://www.amazon.com/Best-Sellers-Video-Games-Atari-Lynx-Consoles-Accessories/zgbs/videogames/10992071/ref=zg_bs_nav_vg_2_294940
7,ColecoVision,https://www.amazon.com/Best-Sellers-Video-Games-ColecoVision-Consoles-Accessories/zgbs/videogames/10993351/ref=zg_bs_nav_vg_2_294940
8,Commodore 64,https://www.amazon.com/Best-Sellers-Video-Games-Commodore-64-Consoles-Accessories/zgbs/videogames/10993991/ref=zg_bs_nav_vg_2_294940
9,Commodore Amiga,https://www.amazon.com/Best-Sellers-Video-Games-Commodore-Amiga-Consoles-Accessories/zgbs/videogames/10994631/ref=zg_bs_nav_vg_2_294940
10,Game Boy,https://www.amazon.com/Best-Sellers-Video-Games-Game-Boy-Consoles-Accessories/zgbs/videogames/1272528011/ref=zg_bs_nav_vg_2_294940
11,Game Boy Advance,https://www.amazon.com/Best-Sellers-Video-Games-GameBoy-Advance-Consoles-Accessories/zgbs/videogames/541020/ref=zg_bs_nav_vg_2_294940
12,Game Boy Color,https://www.amazon.com/Best-Sellers-Video-Games-Game-Boy-Color-Consoles-Accessories/zgbs/videogames/229783/ref=zg_bs_nav_vg_2_294940
13,GameCube,https://www.amazon.com/Best-Sellers-Video-Games-GameCube-Consoles-Accessories/zgbs/videogames/541022/ref=zg_bs_nav_vg_2_294940
14,Intellivision,https://www.amazon.com/Best-Sellers-Video-Games-Intellivision-Consoles-Accessories/zgbs/videogames/10995911/ref=zg_bs_nav_vg_2_294940
15,Linux Games,https://www.amazon.com/Best-Sellers-Video-Games-Linux/zgbs/videogames/290573/ref=zg_bs_nav_vg_2_294940
16,NEOGEO Pocket,https://www.amazon.com/Best-Sellers-Video-Games-NEOGEO-Pocket-Hardware/zgbs/videogames/541018/ref=zg_bs_nav_vg_2_294940
17,Nintendo 64,https://www.amazon.com/Best-Sellers-Video-Games-Nintendo-64-Consoles-Accessories/zgbs/videogames/229763/ref=zg_bs_nav_vg_2_294940
18,Nintendo DS,https://www.amazon.com/Best-Sellers-Video-Games-Nintendo-DS-Consoles-Accessories/zgbs/videogames/11075831/ref=zg_bs_nav_vg_2_294940
19,Nintendo NES,https://www.amazon.com/Best-Sellers-Video-Games-NES-Consoles-Accessories/zgbs/videogames/566458/ref=zg_bs_nav_vg_2_294940
20,PlayStation,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Consoles-Accessories/zgbs/videogames/229773/ref=zg_bs_nav_vg_2_294940
21,PlayStation 2,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Consoles-Accessories/zgbs/videogames/301712/ref=zg_bs_nav_vg_2_294940
22,PlayStation 3,https://www.amazon.com/Best-Sellers-Video-Games-PlayStation-Consoles-Accessories/zgbs/videogames/14210751/ref=zg_bs_nav_vg_2_294940
23,Sega CD,https://www.amazon.com/Best-Sellers-Video-Games-Sega-CD-Consoles-Accessories/zgbs/videogames/11000181/ref=zg_bs_nav_vg_2_294940
24,Sega Dreamcast,https://www.amazon.com/Best-Sellers-Video-Games-Sega-Dreamcast-Consoles-Accessories/zgbs/videogames/229793/ref=zg_bs_nav_vg_2_294940
25,Sega Game Gear,https://www.amazon.com/Best-Sellers-Video-Games-Sega-Game-Gear-Consoles-Accessories/zgbs/videogames/294942/ref=zg_bs_nav_vg_2_294940
26,Sega Genesis,https://www.amazon.com/Best-Sellers-Video-Games-Sega-Genesis-Consoles-Accessories/zgbs/videogames/294943/ref=zg_bs_nav_vg_2_294940
27,Sega Master System,https://www.amazon.com/Best-Sellers-Video-Games-Sega-Master-System-Consoles-Accessories/zgbs/videogames/11002481/ref=zg_bs_nav_vg_2_294940
28,Sega Saturn,https://www.amazon.com/Best-Sellers-Video-Games-Sega-Saturn-Consoles-Accessories/zgbs/videogames/294944/ref=zg_bs_nav_vg_2_294940
29,Sony PSP,https://www.amazon.com/Best-Sellers-Video-Games-Sony-PSP-Consoles-Accessories/zgbs/videogames/11075221/ref=zg_bs_nav_vg_2_294940
30,Super Nintendo,https://www.amazon.com/Best-Sellers-Video-Games-Super-Nintendo-Consoles-Accessories/zgbs/videogames/294945/ref=zg_bs_nav_vg_2_294940
31,TurboGrafx 16,https://www.amazon.com/Best-Sellers-Video-Games-TurboGrafx-16-Consoles-Accessories/zgbs/videogames/11004961/ref=zg_bs_nav_vg_2_294940
32,Wii,https://www.amazon.com/Best-Sellers-Video-Games-Wii-Consoles-Accessories/zgbs/videogames/14218901/ref=zg_bs_nav_vg_2_294940
33,Wii U,https://www.amazon.com/Best-Sellers-Video-Games-Wii-Consoles-Accessories/zgbs/videogames/3075112011/ref=zg_bs_nav_vg_2_294940
34,Xbox,https://www.amazon.com/Best-Sellers-Video-Games-Xbox-Consoles-Accessories/zgbs/videogames/537504/ref=zg_bs_nav_vg_2_294940
35,Xbox 360,https://www.amazon.com/Best-Sellers-Video-Games-Xbox-360-Consoles-Accessories/zgbs/videogames/14220161/ref=zg_bs_nav_vg_2_294940
