,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_551242_1
1,Lawn Mowers & Tractors,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Lawn-Mowers-Tractors/zgbs/lawn-garden/128066011/ref=zg_bs_nav_lg_2_551242
2,String Trimmers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-String-Trimmers/zgbs/lawn-garden/553954/ref=zg_bs_nav_lg_2_551242
3,Chainsaws,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Chain-Saws/zgbs/lawn-garden/552918/ref=zg_bs_nav_lg_2_551242
4,Edgers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Edgers/zgbs/lawn-garden/553914/ref=zg_bs_nav_lg_2_551242
5,Hedge Trimmers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Hedge-Trimmers/zgbs/lawn-garden/553938/ref=zg_bs_nav_lg_2_551242
6,Interchangeable Battery Packs,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Tool-Battery-Packs-Chargers/zgbs/lawn-garden/13638731011/ref=zg_bs_nav_lg_2_551242
7,Leaf Blowers & Vacuums,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Leaf-Blowers-Vacuums/zgbs/lawn-garden/553910/ref=zg_bs_nav_lg_2_551242
8,Log Splitters,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Log-Splitters/zgbs/lawn-garden/1091946/ref=zg_bs_nav_lg_2_551242
9,Metal Detectors,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Metal-Detectors/zgbs/lawn-garden/554036/ref=zg_bs_nav_lg_2_551242
10,Pole Saws,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Pole-Saws/zgbs/lawn-garden/3753651/ref=zg_bs_nav_lg_2_551242
11,Pressure Washers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pressure-Washers/zgbs/lawn-garden/552856/ref=zg_bs_nav_lg_2_551242
12,Tillers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Power-Tillers/zgbs/lawn-garden/553956/ref=zg_bs_nav_lg_2_551242
13,Weed Torches,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Weed-Torches/zgbs/lawn-garden/3480723011/ref=zg_bs_nav_lg_2_551242
14,"Wood Chippers, Shredders, & Mulchers",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Wood-Chippers-Shredders-Mulchers/zgbs/lawn-garden/3753621/ref=zg_bs_nav_lg_2_551242
15,Replacement Parts & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Powertool-Parts-Accessories/zgbs/lawn-garden/553898/ref=zg_bs_nav_lg_2_551242
16,"Pruning Shears, Parts & Accessories",https://www.amazon.com/Best-Sellers-Garden-Outdoor-Electric-Pruning-Shears-Parts-Accessories/zgbs/lawn-garden/21580218011/ref=zg_bs_nav_lg_2_551242
