,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_172504_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_172504_1
2,Device Servers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Device-Servers/zgbs/electronics/13983751/ref=zg_bs_nav_e_3_172504
3,Hubs,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Hubs/zgbs/electronics/281413/ref=zg_bs_nav_e_3_172504
4,Mobile Broadband Devices,https://www.amazon.com/Best-Sellers-Electronics-Mobile-Broadband-Devices/zgbs/electronics/5005583011/ref=zg_bs_nav_e_3_172504
5,Modem Router Combos,https://www.amazon.com/Best-Sellers-Electronics-Modem-Router-Combos/zgbs/electronics/17442743011/ref=zg_bs_nav_e_3_172504
6,Modems,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Modems/zgbs/electronics/284715/ref=zg_bs_nav_e_3_172504
7,Network Adapters,https://www.amazon.com/Best-Sellers-Electronics-Computer-Network-Adapters/zgbs/electronics/490499011/ref=zg_bs_nav_e_3_172504
8,Network Antennas,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Antennas/zgbs/electronics/3015438011/ref=zg_bs_nav_e_3_172504
9,Network Attached Storage,https://www.amazon.com/Best-Sellers-Electronics-Computer-Network-Attached-Storage/zgbs/electronics/13436301/ref=zg_bs_nav_e_3_172504
10,Network Transceivers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Transceivers/zgbs/electronics/537316/ref=zg_bs_nav_e_3_172504
11,Print Servers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Print-Servers/zgbs/electronics/13983761/ref=zg_bs_nav_e_3_172504
12,Repeaters,https://www.amazon.com/Best-Sellers-Electronics-Repeaters/zgbs/electronics/3015439011/ref=zg_bs_nav_e_3_172504
13,Routers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Routers/zgbs/electronics/300189/ref=zg_bs_nav_e_3_172504
14,Streaming Media Players,https://www.amazon.com/Best-Sellers-Electronics-Streaming-Media-Players/zgbs/electronics/13447451/ref=zg_bs_nav_e_3_172504
15,Switches,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Switches/zgbs/electronics/281414/ref=zg_bs_nav_e_3_172504
16,Whole Home & Mesh Wi-Fi Systems,https://www.amazon.com/Best-Sellers-Electronics-Whole-Home-Mesh-Wi-Fi-Systems/zgbs/electronics/17935294011/ref=zg_bs_nav_e_3_172504
17,Wireless Access Points,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking-Wireless-Access-Points/zgbs/electronics/1194486/ref=zg_bs_nav_e_3_172504
