,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166027011_1
1,Executive Desk Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Executive-Desk/zgbs/toys-and-games/5483953011/ref=zg_bs_nav_t_2_166027011
2,Fidget Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Fidget/zgbs/toys-and-games/17238448011/ref=zg_bs_nav_t_2_166027011
3,Finger Boards & Finger Bikes,https://www.amazon.com/Best-Sellers-Toys-Games-Finger/zgbs/toys-and-games/166029011/ref=zg_bs_nav_t_2_166027011
4,Flying Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Flying/zgbs/toys-and-games/166032011/ref=zg_bs_nav_t_2_166027011
5,Fortune Telling Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Fortune-Telling/zgbs/toys-and-games/166033011/ref=zg_bs_nav_t_2_166027011
6,Gag Toys & Practical Jokes,https://www.amazon.com/Best-Sellers-Toys-Games-Gags-Practical-Joke/zgbs/toys-and-games/166034011/ref=zg_bs_nav_t_2_166027011
7,Juggling Sets,https://www.amazon.com/Best-Sellers-Toys-Games-Juggling-Sets/zgbs/toys-and-games/166037011/ref=zg_bs_nav_t_2_166027011
8,Magic Kits & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Magic-Kits-Accessories/zgbs/toys-and-games/166355011/ref=zg_bs_nav_t_2_166027011
9,Magnets & Magnetic Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Magnet/zgbs/toys-and-games/166039011/ref=zg_bs_nav_t_2_166027011
10,Miniatures,https://www.amazon.com/Best-Sellers-Toys-Games-Miniature-Novelty/zgbs/toys-and-games/166040011/ref=zg_bs_nav_t_2_166027011
11,Money Banks,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Money-Banks/zgbs/toys-and-games/2491218011/ref=zg_bs_nav_t_2_166027011
12,Nesting Dolls,https://www.amazon.com/Best-Sellers-Toys-Games-Nesting-Dolls/zgbs/toys-and-games/166041011/ref=zg_bs_nav_t_2_166027011
13,Novelty Spinning Tops,https://www.amazon.com/Best-Sellers-Toys-Games-Novelty-Spinning-Tops/zgbs/toys-and-games/2735439011/ref=zg_bs_nav_t_2_166027011
14,Prisms & Kaleidoscopes,https://www.amazon.com/Best-Sellers-Toys-Games-Prisms-Kaleidoscopes/zgbs/toys-and-games/166046011/ref=zg_bs_nav_t_2_166027011
15,Slime & Putty Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Slime-Putty/zgbs/toys-and-games/166047011/ref=zg_bs_nav_t_2_166027011
16,Spy Gadgets,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Electronic-Spy-Gear/zgbs/toys-and-games/166205011/ref=zg_bs_nav_t_2_166027011
17,Viewfinders,https://www.amazon.com/Best-Sellers-Toys-Games-Viewfinder/zgbs/toys-and-games/166052011/ref=zg_bs_nav_t_2_166027011
18,Water Balloons,https://www.amazon.com/Best-Sellers-Toys-Games-Water-Balloons/zgbs/toys-and-games/2528079011/ref=zg_bs_nav_t_2_166027011
19,Wind-up Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Spring-Wind/zgbs/toys-and-games/166054011/ref=zg_bs_nav_t_2_166027011
