,category,URL
0,Office Products,https://www.amazon.com/Best-Sellers-Office-Products/zgbs/office-products/ref=zg_bs_unv_op_1_172574_1
1,Cable Organizer Bags & Cases,https://www.amazon.com/Best-Sellers-Office-Products-Cable-Organizer-Bags-Cases/zgbs/office-products/290458/ref=zg_bs_nav_op_2_172574
2,Calculators,https://www.amazon.com/Best-Sellers-Office-Products-Calculators/zgbs/office-products/172518/ref=zg_bs_nav_op_2_172574
3,Copiers,https://www.amazon.com/Best-Sellers-Office-Products-Copiers/zgbs/office-products/172576/ref=zg_bs_nav_op_2_172574
4,Document Cameras,https://www.amazon.com/Best-Sellers-Office-Products-Document-Cameras/zgbs/office-products/5728045011/ref=zg_bs_nav_op_2_172574
5,"Electronic Dictionaries, Thesauri & Translators",https://www.amazon.com/Best-Sellers-Office-Products-Dictionaries-Thesauri-Translators/zgbs/office-products/11072581/ref=zg_bs_nav_op_2_172574
6,Fax Machines,https://www.amazon.com/Best-Sellers-Office-Products-Fax-Machines/zgbs/office-products/172582/ref=zg_bs_nav_op_2_172574
7,Other Office Equipment,https://www.amazon.com/Best-Sellers-Office-Products-Other-Equipment/zgbs/office-products/281418/ref=zg_bs_nav_op_2_172574
8,PDAs & Handhelds,https://www.amazon.com/Best-Sellers-Office-Products-Handhelds-PDAs/zgbs/office-products/172594/ref=zg_bs_nav_op_2_172574
9,Point-of-Sale (POS) Equipment,https://www.amazon.com/Best-Sellers-Office-Products-Point-Sale-POS-Equipment/zgbs/office-products/15442734011/ref=zg_bs_nav_op_2_172574
10,Presentation Products,https://www.amazon.com/Best-Sellers-Office-Products-Presentation/zgbs/office-products/300333/ref=zg_bs_nav_op_2_172574
11,Printers & Accessories,https://www.amazon.com/Best-Sellers-Office-Products-Printers-Accessories/zgbs/office-products/9424016011/ref=zg_bs_nav_op_2_172574
12,Scanners & Accessories,https://www.amazon.com/Best-Sellers-Office-Products-Scanners-Accessories/zgbs/office-products/9277898011/ref=zg_bs_nav_op_2_172574
13,Telephones & Accessories,https://www.amazon.com/Best-Sellers-Office-Products-Telephones/zgbs/office-products/172606/ref=zg_bs_nav_op_2_172574
14,Video Projectors & Accessories,https://www.amazon.com/Best-Sellers-Office-Products-Video-Projectors-Accessories/zgbs/office-products/14759145011/ref=zg_bs_nav_op_2_172574
