,category,URL
0,Office Products,https://www.amazon.com/Best-Sellers-Office-Products/zgbs/office-products/ref=zg_bs_unv_op_1_1069242_1
1,Binders & Binding Systems,https://www.amazon.com/Best-Sellers-Office-Products-Binder-Supplies/zgbs/office-products/1069556/ref=zg_bs_nav_op_2_1069242
2,Book Covers & Book Accessories,https://www.amazon.com/Best-Sellers-Office-Products-Book-Covers-Accessories/zgbs/office-products/17581329011/ref=zg_bs_nav_op_2_1069242
3,"Calendars, Planners & Personal Organizers",https://www.amazon.com/Best-Sellers-Office-Products-Calendars-Planners-Organizers/zgbs/office-products/1069454/ref=zg_bs_nav_op_2_1069242
4,Carrying Cases,https://www.amazon.com/Best-Sellers-Office-Products-Carrying-Cases/zgbs/office-products/1069424/ref=zg_bs_nav_op_2_1069242
5,Cutting & Measuring Devices,https://www.amazon.com/Best-Sellers-Office-Products-Cutting-Tools/zgbs/office-products/490579011/ref=zg_bs_nav_op_2_1069242
6,Desk Accessories & Workspace Organizers,https://www.amazon.com/Best-Sellers-Office-Products-Desk-Accessories-Workspace-Organizers/zgbs/office-products/1069514/ref=zg_bs_nav_op_2_1069242
7,Education & Crafts,https://www.amazon.com/Best-Sellers-Office-Products-Education-Supplies-Craft/zgbs/office-products/12899801/ref=zg_bs_nav_op_2_1069242
8,"Envelopes, Mailers & Shipping Supplies",https://www.amazon.com/Best-Sellers-Office-Products-Mail-Supplies-Shipping/zgbs/office-products/1068972/ref=zg_bs_nav_op_2_1069242
9,Filing Products,https://www.amazon.com/Best-Sellers-Office-Products-Filing/zgbs/office-products/1069554/ref=zg_bs_nav_op_2_1069242
10,"Forms, Recordkeeping & Money Handling",https://www.amazon.com/Best-Sellers-Office-Products-Forms-Recordkeeping-Money-Handling/zgbs/office-products/1069376/ref=zg_bs_nav_op_2_1069242
11,"Labels, Indexes & Stamps",https://www.amazon.com/Best-Sellers-Office-Products-Labelers-Label-Rolls/zgbs/office-products/490540011/ref=zg_bs_nav_op_2_1069242
12,Office Storage Supplies,https://www.amazon.com/Best-Sellers-Office-Products-Storage-Supplies/zgbs/office-products/1069652/ref=zg_bs_nav_op_2_1069242
13,Paper,https://www.amazon.com/Best-Sellers-Office-Products-Paper-Printable-Media/zgbs/office-products/1069664/ref=zg_bs_nav_op_2_1069242
14,Presentation Boards,https://www.amazon.com/Best-Sellers-Office-Products-Presentation-Supplies/zgbs/office-products/1069254/ref=zg_bs_nav_op_2_1069242
15,Printer Ink & Toner,https://www.amazon.com/Best-Sellers-Office-Products-Computer-Printer-Ink-Toner/zgbs/office-products/172638/ref=zg_bs_nav_op_2_1069242
16,Staplers & Punches,https://www.amazon.com/Best-Sellers-Office-Products-Staplers-Hole-Punches/zgbs/office-products/1069342/ref=zg_bs_nav_op_2_1069242
17,Store Signs & Displays,https://www.amazon.com/Best-Sellers-Office-Products-Store-Signs-Displays/zgbs/office-products/2747494011/ref=zg_bs_nav_op_2_1069242
18,"Tape, Adhesives & Fasteners",https://www.amazon.com/Best-Sellers-Office-Products-Tape-Adhesives-Fasteners/zgbs/office-products/1069320/ref=zg_bs_nav_op_2_1069242
19,Time Clocks & Cards,https://www.amazon.com/Best-Sellers-Office-Products-Time-Clocks-Cards/zgbs/office-products/1085696/ref=zg_bs_nav_op_2_1069242
20,Writing & Correction Supplies,https://www.amazon.com/Best-Sellers-Office-Products-Writing-Supplies-Correction/zgbs/office-products/1069784/ref=zg_bs_nav_op_2_1069242
