,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_15718791_1
1,Additives,https://www.amazon.com/Best-Sellers-Automotive-Oil-Fluid-Additives/zgbs/automotive/15718801/ref=zg_bs_nav_auto_2_15718791
2,Antifreezes & Coolants,https://www.amazon.com/Best-Sellers-Automotive-Antifreezes-Coolants/zgbs/automotive/15718901/ref=zg_bs_nav_auto_2_15718791
3,Brake Fluids,https://www.amazon.com/Best-Sellers-Automotive-Brake-Fluids/zgbs/automotive/15718941/ref=zg_bs_nav_auto_2_15718791
4,Cleaners,https://www.amazon.com/Best-Sellers-Automotive-Engine-Parts-Fluid-Cleaners/zgbs/automotive/15718971/ref=zg_bs_nav_auto_2_15718791
5,Flushes,https://www.amazon.com/Best-Sellers-Automotive-Flushes/zgbs/automotive/15719091/ref=zg_bs_nav_auto_2_15718791
6,Greases & Lubricants,https://www.amazon.com/Best-Sellers-Automotive-Greases-Lubricants/zgbs/automotive/15719191/ref=zg_bs_nav_auto_2_15718791
7,Oils,https://www.amazon.com/Best-Sellers-Automotive-Oils/zgbs/automotive/15719331/ref=zg_bs_nav_auto_2_15718791
8,Power Steering Fluids,https://www.amazon.com/Best-Sellers-Automotive-Power-Steering-Fluids/zgbs/automotive/15719541/ref=zg_bs_nav_auto_2_15718791
9,Radiator Conditioners & Protectants,https://www.amazon.com/Best-Sellers-Automotive-Radiator-Conditioners-Protectants/zgbs/automotive/15719551/ref=zg_bs_nav_auto_2_15718791
10,Refrigerants,https://www.amazon.com/Best-Sellers-Automotive-Refrigerants/zgbs/automotive/15719561/ref=zg_bs_nav_auto_2_15718791
11,Transmission Fluids,https://www.amazon.com/Best-Sellers-Automotive-Transmission-Fluids/zgbs/automotive/15719641/ref=zg_bs_nav_auto_2_15718791
12,Windshield Washer Fluids,https://www.amazon.com/Best-Sellers-Automotive-Windshield-Washer-Fluids/zgbs/automotive/15719651/ref=zg_bs_nav_auto_2_15718791
13,Winter Products,https://www.amazon.com/Best-Sellers-Automotive-Winter-Products/zgbs/automotive/15719661/ref=zg_bs_nav_auto_2_15718791
