,category,URL
0,Health & Household,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_unv_hpc_1_10079992011_1
1,Breath Fresheners,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Breath-Fresheners/zgbs/hpc/3777911/ref=zg_bs_nav_hpc_2_10079992011
2,Children's Dental Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Childrens-Dental-Products/zgbs/hpc/13213837011/ref=zg_bs_nav_hpc_2_10079992011
3,Dental Floss & Picks,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Dental-Floss-Picks/zgbs/hpc/13213824011/ref=zg_bs_nav_hpc_2_10079992011
4,Denture Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Denture/zgbs/hpc/3778111/ref=zg_bs_nav_hpc_2_10079992011
5,Dry Mouth Relief,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Dry-Mouth-Relief-Products/zgbs/hpc/14255252011/ref=zg_bs_nav_hpc_2_10079992011
6,Gum Stimulators,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Gum-Stimulators/zgbs/hpc/3778081/ref=zg_bs_nav_hpc_2_10079992011
7,Mouthwash,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Mouthwashes/zgbs/hpc/3778161/ref=zg_bs_nav_hpc_2_10079992011
8,Oral Pain Relief,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Oral-Pain-Treatments/zgbs/hpc/3764051/ref=zg_bs_nav_hpc_2_10079992011
9,Orthodontic Supplies,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Orthodontic-Supplies/zgbs/hpc/4986869011/ref=zg_bs_nav_hpc_2_10079992011
10,Sensitivity Treatments,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Dental-Sensitivity-Treatments/zgbs/hpc/13213849011/ref=zg_bs_nav_hpc_2_10079992011
11,Teeth Grinding Guards,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Anti-Grinding-Teeth-Protectors/zgbs/hpc/3764091/ref=zg_bs_nav_hpc_2_10079992011
12,Teeth Whitening,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Teeth-Whitening-Products/zgbs/hpc/3778441/ref=zg_bs_nav_hpc_2_10079992011
13,Tongue Cleaners,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Tongue-Brushes-Scrapers-Cleaners/zgbs/hpc/3777991/ref=zg_bs_nav_hpc_2_10079992011
14,Toothbrushes & Accessories,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Toothbrushes-Accessories/zgbs/hpc/18065341011/ref=zg_bs_nav_hpc_2_10079992011
15,Toothpaste,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Toothpaste/zgbs/hpc/3778371/ref=zg_bs_nav_hpc_2_10079992011
