,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_553788_1
1,Address Signs,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Decorative-Address-Signs/zgbs/lawn-garden/16135371011/ref=zg_bs_nav_lg_2_553788
2,Artificial Grass,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Artificial-Grass/zgbs/lawn-garden/21592042011/ref=zg_bs_nav_lg_2_553788
3,Backyard Birding & Wildlife,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Backyard-Birding-Wildlife/zgbs/lawn-garden/553632/ref=zg_bs_nav_lg_2_553788
4,Chimes,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Wind-Chimes/zgbs/lawn-garden/553806/ref=zg_bs_nav_lg_2_553788
5,Cupolas & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Cupolas-Accessories/zgbs/lawn-garden/13839651/ref=zg_bs_nav_lg_2_553788
6,Decorative Fences,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Decorative-Fences/zgbs/lawn-garden/3742341/ref=zg_bs_nav_lg_2_553788
7,Decorative Garden Stakes,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Decorative-Stakes/zgbs/lawn-garden/16164098011/ref=zg_bs_nav_lg_2_553788
8,Decorative Garden Stools,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Decorative-Stools/zgbs/lawn-garden/3563985011/ref=zg_bs_nav_lg_2_553788
9,Doormats,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Doormats/zgbs/lawn-garden/3742271/ref=zg_bs_nav_lg_2_553788
10,Flagpole Hardware,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Flagpole-Hardware/zgbs/lawn-garden/13923601/ref=zg_bs_nav_lg_2_553788
11,Flags,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Flags-Banners/zgbs/lawn-garden/553792/ref=zg_bs_nav_lg_2_553788
12,Fountain Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fountain-Accessories/zgbs/lawn-garden/13400901/ref=zg_bs_nav_lg_2_553788
13,Fountains,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fountains/zgbs/lawn-garden/14083101/ref=zg_bs_nav_lg_2_553788
14,Garage Door Decorations,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Garage-Door-Decorations/zgbs/lawn-garden/16926105011/ref=zg_bs_nav_lg_2_553788
15,Garden Bridges,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Bridges/zgbs/lawn-garden/14008361/ref=zg_bs_nav_lg_2_553788
16,Garden Sculptures & Statues,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Sculptures-Statues/zgbs/lawn-garden/553802/ref=zg_bs_nav_lg_2_553788
17,Lighting,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Décorative-Lighting/zgbs/lawn-garden/14107631/ref=zg_bs_nav_lg_2_553788
18,Mailbox Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Decorative-Mailbox-Accessories/zgbs/lawn-garden/16135373011/ref=zg_bs_nav_lg_2_553788
19,Mailbox Covers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Mailbox-Covers/zgbs/lawn-garden/9628874011/ref=zg_bs_nav_lg_2_553788
20,Outdoor Clocks,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Clocks/zgbs/lawn-garden/553794/ref=zg_bs_nav_lg_2_553788
21,Outdoor Curtains,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Curtains/zgbs/lawn-garden/3480737011/ref=zg_bs_nav_lg_2_553788
22,Outdoor Hanging Brackets,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Hanging-Brackets/zgbs/lawn-garden/21208375011/ref=zg_bs_nav_lg_2_553788
23,Outdoor Holiday Decorations,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Holiday-Decorations/zgbs/lawn-garden/285033011/ref=zg_bs_nav_lg_2_553788
24,Outdoor Rugs,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Rugs/zgbs/lawn-garden/16509767011/ref=zg_bs_nav_lg_2_553788
25,Outdoor Shepherd's Hooks,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Shepherds-Hooks/zgbs/lawn-garden/21208376011/ref=zg_bs_nav_lg_2_553788
26,Plaques & Wall Art,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Plaques-Wall-Art/zgbs/lawn-garden/3742281/ref=zg_bs_nav_lg_2_553788
27,Rain Chains,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Rain-Chains/zgbs/lawn-garden/3480736011/ref=zg_bs_nav_lg_2_553788
28,Sundials,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Sundial-Clocks/zgbs/lawn-garden/3735001/ref=zg_bs_nav_lg_2_553788
