,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_13638732011_1
1,Fire Glass,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Decorative-Fire-Pit-Glass-Pellets/zgbs/lawn-garden/9001154011/ref=zg_bs_nav_lg_2_13638732011
2,Fire Pit & Outdoor Fireplace Parts,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fire-Pit-Fireplace-Parts/zgbs/lawn-garden/10253330011/ref=zg_bs_nav_lg_2_13638732011
3,Fire Pit Covers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fire-Pit-Covers/zgbs/lawn-garden/3480670011/ref=zg_bs_nav_lg_2_13638732011
4,Fire Pit Spark Screens,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fire-Pit-Spark-Screens/zgbs/lawn-garden/3480671011/ref=zg_bs_nav_lg_2_13638732011
5,Fire Pits & Outdoor Fireplaces,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fire-Pits-Fireplaces/zgbs/lawn-garden/9001138011/ref=zg_bs_nav_lg_2_13638732011
6,Firewood Racks,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Firewood-Racks/zgbs/lawn-garden/3563995011/ref=zg_bs_nav_lg_2_13638732011
7,Misting Fans,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Misting-Fans/zgbs/lawn-garden/15194371011/ref=zg_bs_nav_lg_2_13638732011
8,Misting Parts & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Misting-Parts-Accessories/zgbs/lawn-garden/15194373011/ref=zg_bs_nav_lg_2_13638732011
9,Misting Systems,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Misting-Systems/zgbs/lawn-garden/15194372011/ref=zg_bs_nav_lg_2_13638732011
10,Patio Heater Covers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Patio-Heater-Covers/zgbs/lawn-garden/13638748011/ref=zg_bs_nav_lg_2_13638732011
11,Patio Heater Replacement Parts,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Heater-Replacement-Parts/zgbs/lawn-garden/10425201011/ref=zg_bs_nav_lg_2_13638732011
12,Patio Heaters,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Heaters/zgbs/lawn-garden/553782/ref=zg_bs_nav_lg_2_13638732011
