,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_8553197011_1
1,Bubble Pack Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Bulk-Bubble-Pack-Supplies/zgbs/industrial/8553207011/ref=zg_bs_nav_indust_2_8553197011
2,Carton Sealing Tape,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Packing-Tape/zgbs/industrial/1068982/ref=zg_bs_nav_indust_2_8553197011
3,Carton Sealing Tape Dispensers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Carton-Sealing-Tape-Dispensers/zgbs/industrial/8553233011/ref=zg_bs_nav_indust_2_8553197011
4,Corrugated Boxes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Corrugated-Packaging-Boxes/zgbs/industrial/8553213011/ref=zg_bs_nav_indust_2_8553197011
5,Corrugated Pads,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Corrugated-Packaging-Pads/zgbs/industrial/8553215011/ref=zg_bs_nav_indust_2_8553197011
6,Dunnage & Protectors,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Packaging-Dunnage-Protectors/zgbs/industrial/8553217011/ref=zg_bs_nav_indust_2_8553197011
7,Industrial Shrink Wrap Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Shrink-Wrap-Supplies/zgbs/industrial/8553221011/ref=zg_bs_nav_indust_2_8553197011
8,Industrial Stretch Wrap Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Stretch-Wrap-Supplies/zgbs/industrial/8553227011/ref=zg_bs_nav_indust_2_8553197011
9,Labels & Labeling Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Labels-Labeling-Equipment/zgbs/industrial/8553202011/ref=zg_bs_nav_indust_2_8553197011
10,Mailers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Shipping-Mailers/zgbs/industrial/8553199011/ref=zg_bs_nav_indust_2_8553197011
11,Packaging Labels & Tags,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Packaging-Labels-Tags/zgbs/industrial/8553200011/ref=zg_bs_nav_indust_2_8553197011
12,Poly & Plastic Packaging Bags,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Poly-Plastic-Packaging-Bags/zgbs/industrial/8553245011/ref=zg_bs_nav_indust_2_8553197011
13,Strapping,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Packaging-Strapping/zgbs/industrial/8553249011/ref=zg_bs_nav_indust_2_8553197011
